ell,tau,EE,TE,TT
20,0.0314,3.873577546056823e-17,1.3123851184335523e-15,3.1662848976395623e-12
21,0.0314,3.941642106222812e-17,1.2234460236060056e-15,2.8952558846492153e-12
22,0.0314,4.0117053709176694e-17,1.1359147527558233e-15,2.6592870218682917e-12
23,0.0314,4.083605625987821e-17,1.0504200561030482e-15,2.4527059059653794e-12
24,0.0314,4.157141773739043e-17,9.670097602462527e-16,2.2706895572953413e-12
25,0.0314,4.2322329420408876e-17,8.854938630070116e-16,2.109540115579534e-12
26,0.0314,4.308804335953242e-17,8.055188711740413e-16,1.9660206915709303e-12
27,0.0314,4.3866852437335495e-17,7.263151561816324e-16,1.8376131607824747e-12
28,0.0314,4.465697431841465e-17,6.472858562136657e-16,1.7221322323631764e-12
29,0.0314,4.545728496347938e-17,5.689413118068075e-16,1.6180051852463258e-12
30,0.0314,4.6266824907267456e-17,4.92068664085921e-16,1.523812440811284e-12
31,0.0314,4.7084667904314636e-17,4.1724790625222933e-16,1.438224170050673e-12
32,0.0314,4.791002058834884e-17,3.4423043981239783e-16,1.3602695424101558e-12
33,0.0314,4.874212281289601e-17,2.725605183494517e-16,1.2890674769486562e-12
34,0.0314,4.9580039529631635e-17,2.0187004784398344e-16,1.2237883042622636e-12
35,0.0314,5.042213608282927e-17,1.3214154386685725e-16,1.1638080010957289e-12
36,0.0314,5.1266602914912043e-17,6.34451743865046e-17,1.1085539557309688e-12
37,0.0314,5.211176828876366e-17,-4.1562179745832005e-18,1.0574911283813978e-12
38,0.0314,5.295651174911025e-17,-7.062909197767556e-17,1.0102347669864222e-12
39,0.0314,5.379985066113854e-17,-1.359472317299813e-16,9.664376914169457e-13
40,0.0314,5.4640802390035264e-17,-2.0008442133870946e-16,9.257527215438727e-13
41,0.0314,5.54785839508925e-17,-2.630544017143398e-16,8.878556803408725e-13
42,0.0314,5.631321095842376e-17,-3.2503074098043335e-16,8.525144031926785e-13
43,0.0314,5.714489867724789e-17,-3.862269640638211e-16,8.1951972858679e-13
44,0.0314,5.797386237198375e-17,-4.468565958913349e-16,7.886624950107061e-13
45,0.0314,5.880003252121107e-17,-5.070614410641969e-16,7.597458539575389e-13
46,0.0314,5.962220045935311e-17,-5.666964228811928e-16,7.326222089428527e-13
47,0.0314,6.043887273479397e-17,-6.255447443155007e-16,7.071562764878258e-13
48,0.0314,6.124855589591777e-17,-6.833896083402965e-16,6.832127731136358e-13
49,0.0314,6.204975649110863e-17,-7.400142179287582e-16,6.6065641534146e-13
50,0.0314,6.284106228346407e-17,-7.952548453067426e-16,6.393622564237634e-13
2,0.0366,4.164732027069574e-15,5.508670998237596e-13,2.92971482665901e-10
3,0.0366,1.8410693044613617e-15,2.01196421270576e-13,1.2572493850442702e-10
4,0.0366,7.2121949914635725e-16,9.227220596678166e-14,7.011514770260716e-11
5,0.0366,2.632340165113107e-16,4.5779756430365757e-14,4.4920768808952e-11
6,0.0366,1.0894643267022335e-16,2.355711678441889e-14,3.129547035301113e-11
7,0.0366,6.326566342580145e-17,1.2656761506966763e-14,2.3109746226143483e-11
8,0.0366,4.8241753452551214e-17,7.308401402798579e-15,1.780961858573535e-11
