k,P_k_M_nu
0.001,1.0
0.0010080465830751737,1.0
0.0010161579136495332,1.0
0.0010243345127192093,1.0
0.0010325769054725718,1.0
0.0010408856213239628,1.0
0.0010492611939476987,1.0
0.0010577041613123548,1.0
0.0010662150657153116,1.0
0.0010747944538175916,1.0
0.001083442876678971,1.0
0.0010921608897933733,1.0
0.0011009490531245514,1.0
0.001109807931142052,1.0
0.001118738092857473,1.0
0.0011277401118610121,1.0
0.0011368145663583063,1.0
0.001145962039207576,1.0
0.001155183117957055,1.0
0.0011644783948827348,1.0
0.0011738484670264036,1.0
0.001183293936233997,1.0
0.001192815409194253,1.0
0.001202413497477682,1.0
0.0012120888175758463,1.0
0.0012218419909409593,1.0
0.0012316736440258014,1.0
0.0012415844083239556,1.0
0.0012515749204103747,1.0
0.0012616458219822607,1.0
0.0012717977599002869,1.0
0.0012820313862301443,1.0
0.0012923473582844252,1.0
0.001302746338664842,1.0
0.0013132289953047872,1.0
0.001323796001512234,1.0
0.0013344480360129836,1.0
0.0013451857829942645,1.0
0.0013560099321486704,1.0
0.0013669211787184653,1.0
0.001377920223540238,1.0
0.0013890077730899163,1.0
0.0014001845395281462,1.0
0.0014114512407460333,1.0
0.0014228086004112533,1.0
0.001434257348014534,1.0
0.0014457982189165113,1.0
0.0014574319543949597,1.0
0.0014691593016924116,1.0
0.0014809810140641437,1.0
0.0014928978508265659,1.0
0.0015049105774059901,1.0
0.001517019965387795,1.0
0.001529226792565985,1.0
0.0015415318429931487,1.0
0.0015539359070308185,1.0
0.0015664397814002375,1.0
0.0015790442692335315,1.0
0.0015917501801252943,1.0
0.0016045583301845952,1.0
0.0016174695420873876,1.0
0.0016304846451293568,1.0
0.0016436044752791853,1.0
0.0016568298752322466,1.0
0.0016701616944647325,1.0
0.0016836007892882159,1.0
0.0016971480229046516,1.0
0.0017108042654618188,1.0
0.001724570394109219,1.0
0.0017384472930544038,1.0
0.001752435853619777,1.0
0.0017665369742998413,1.0
0.001780751560818911,1.0
0.0017950805261892856,1.0
0.0018095247907698943,1.0
0.0018240852823254105,1.0
0.0018387629360858435,1.0
0.0018535586948066087,1.0
0.0018684735088290785,1.0
0.001883508336141633,1.0
0.0018986641424411789,1.0
0.0019139419011951853,1.0
0.0019293425937042083,1.0
0.0019448672091649203,1.0
0.001960516744733647,1.0
0.0019762922055904155,1.0
0.001992194605003517,1.0
0.0020082249643945905,1.0
0.0020243843134042294,1.0
0.002040673689958113,1.0
0.0020570941403336824,1.0
0.00207364671922733,1.0
0.002090332489822154,1.0
0.002107152523856243,1.0
0.002124107901691514,1.0
0.0021411997123831077,1.0
0.0021584290537493365,1.0
0.0021757970324421992,1.0
0.0021933047640184593,1.0
0.0022109533730113083,1.0
0.002228743993002579,1.0
0.002246677766695569,1.0
0.00226475584598843,1.0
0.0022829793920481614,1.0
0.002301349575385187,1.0
0.0023198675759285394,1.0
0.00233853458310165,1.0
0.002357351795898744,1.0
0.0023763204229618534,1.0
0.0023954416826584453,1.0
0.0024147168031596906,1.0
0.0024341470225193325,1.0
0.002453733588753221,1.0
0.002473477759919468,1.0
0.002493380804199255,1.0
0.0025134439999782874,1.0
0.0025336686359289096,1.0
0.0025540560110928734,1.0
0.002574607434964779,1.0
0.002595324227576183,1.0
0.0026162077195803833,1.0
0.0026372592523378974,1.0
0.002658480178002605,1.0
0.0026798718596086056,1.0
0.0027014356711577664,1.0
0.0027231729977079747,1.0
0.002745085235462102,1.0
0.0027671737918576805,1.0
0.0027894400856573066,1.0
0.002811885547039765,1.0
0.0028345116176919007,1.0
0.0028573197509012037,1.0
0.002880311411649165,1.0
0.0029034880767053704,1.0
0.0029268512347223564,1.0
0.002950402386331225,1.0
0.0029741430442380297,1.0
0.002998074733320941,1.0
0.0030221989907281872,1.0
0.003046517365976788,1.0
0.003071031421052076,1.0
0.00309574273050804,1.0
0.0031206528815684383,1.0
0.003145763474228759,1.0
0.0031710761213589876,1.0
0.0031965924488072026,1.0
0.0032223140955040027,1.0
0.003248242713567779,1.0
0.0032743799684108294,1.0
0.0033007275388463285,1.0
0.0033272871171961724,1.0
0.0033540604093996434,1.0
0.0033810491351230288,1.0
0.0034082550278700403,1.0
0.003435679835093175,1.0
0.003463325318305951,1.0
0.0034911932531960523,1.0
0.0035192854297393804,1.0
0.003547603652315027,1.0
0.0035761497398211694,1.0
0.0036049255257918976,1.0
0.003633932858515,1.0
0.0036631736011506406,1.0
0.0036926496318510824,1.0
0.0037223628438812816,1.0
0.003752315145740512,1.0
0.0037825084612849455,1.0
0.0038129447298512224,1.0
0.003843625906381016,1.0
0.003874553961546601,1.0
0.0039057308818774288,1.0
0.003937158669887723,1.0
0.003968839344205115,1.0
0.004000774939700279,1.0
0.00403296750761765,1.0
0.004065419115707172,1.0
0.004098131848357109,1.0
0.004131107806727929,1.0
0.004164349108887265,1.0
0.004197857889945951,1.0
0.004231636302195171,1.0
0.004265686515244709,1.0
0.00430001071616227,1.0
0.004334611109614007,1.0
0.004369489918006087,1.0
0.004404649381627456,1.0
0.004440091758793735,1.0
0.0044758193259922625,1.0
0.004511834378028327,1.0
0.004548139228172557,1.0
0.004584736208309503,1.0
0.004621627669087418,1.0
0.004658815980069256,1.0
0.004696303529884825,1.0
0.004734092726384275,1.0
0.004772185996792701,1.0
0.0048105857878660745,1.0
0.004849294566048389,1.0
0.0048883148176300855,1.0
0.004927649048907749,1.0
0.004967299786345086,1.0
0.005007269576735204,1.0
0.005047560987364188,1.0
0.00508817660617602,1.0
0.005129119041938771,1.0
0.005170390924412187,1.0
0.005211994904516594,1.0
0.005253933654503168,1.0
0.005296209868125579,1.0
0.005338826260813006,1.0
0.005381785569844557,1.0
0.0054250905545250765,1.0
0.005468743996362408,1.0
0.005512748699245991,1.0
0.0055571074896270285,1.0
0.005601823216699982,1.0
0.005646898752585596,1.0
0.00569233699251537,1.0
0.00573814085501753,1.0
0.005784313282104477,1.0
0.005830857239461761,1.0
0.005877775716638568,1.0
0.0059250717272397325,1.0
0.005972748309119337,1.0
0.006020808524575762,1.0
0.006069255460548475,1.0
0.00611809222881623,1.0
0.006167321966196975,1.0
0.006216947834749322,1.0
0.006266973021975653,1.0
0.0063174007410268535,1.0
0.006368234230908689,1.0
0.006419476756689861,1.0
0.006471131609711706,1.0
0.00652320210779964,1.0
0.006575691595476192,1.0
0.0066286034441759125,1.0
0.006681941052461856,1.0
0.0067357078462439044,1.0
0.006789907278998805,1.0
0.006844542831991996,1.0
0.006899618014501204,1.0
0.006955136364041846,1.0
0.007011101446594278,1.0
0.007067516856832761,1.0
0.007124386218356457,1.0
0.007181713183922084,1.0
0.007239501435678584,1.0
0.007297754685403611,1.0
0.00735647667474195,1.0
0.007415671175445838,1.0
0.007475341989617234,1.0
0.007535492949952023,1.0
0.00759612791998619,1.0
0.007657250794344013,1.0
0.007718865498988134,1.0
0.007780975991471834,1.0
0.007843586261193145,1.0
0.007906700329651127,1.0
0.007970322250704168,1.0
0.008034456110830365,1.0
0.008099106029389997,1.0
0.008164276158890125,1.0
0.008229970685251293,1.0
0.008296193828076403,1.0
0.008362949840921773,1.0
0.008430243011570252,1.0
0.008498077662306754,1.0
0.008566458150195784,1.0
0.008635388867361333,1.0
0.008704874241268985,1.0
0.008774918735010295,1.0
0.008845526847589455,1.0
0.008916703114212254,1.0
0.008988452106577432,1.0
0.009060778433170217,1.0
0.009133686739558463,1.0
0.009207181708690934,1.0
0.009281268061198134,1.0
0.009355950555695523,1.0
0.009431233989089143,1.0
0.009507123196883752,1.0
0.009583623053493386,1.0
0.009660738472554472,1.0
0.009738474407241397,1.0
0.009816835850584729,1.0
0.009895827835791793,1.0
0.009975455436570108,1.0
0.01005572376745316,1.0
0.010136637984128971,1.0
0.010218203283771227,1.0
0.010300424905373105,1.0
0.010383308130083778,1.0
0.010466858281547618,1.0
0.010551080726246161,1.0
0.010635980873842765,1.0
0.0107215641775301,1.0
0.0108078361343804,1.0
0.010894802285698552,1.0
0.010982468217378017,1.0
0.011070839560259605,1.0
0.011159921990493153,1.0
0.011249721229902114,1.0
0.01134024304635106,1.0
0.011431493254116186,1.0
