tau,ell,EE,TE,TT
0.0419,8,1.4879605068174209,8.545008150638902e-15,1.766941473808441e-11
0.0472,8,1.7810073961662274,9.747499236094986e-15,1.7535080364098425e-11
0.0524,8,2.1728248987504317,1.0886244026040444e-14,1.7409168646998373e-11
0.0561,8,2.5372209166306767,1.1669577374590346e-14,1.7322728943143518e-11
0.0629,8,3.456385426493059,1.3060309004025756e-14,1.7170807997270225e-11
0.0682,8,4.4531292070880015,1.4096109716932015e-14,1.7058207455917613e-11
0.0735,8,5.746452027181314,1.5096474127743273e-14,1.695048240036591e-11
0.0787,8,7.341084909399758,1.604093768087707e-14,1.6849441981976497e-11
0.084,8,9.334814678306595,1.6967843077057075e-14,1.6750570588082967e-11
0.0893,8,11.712628046580818,1.7856533760126516e-14,1.6656209966508223e-11
0.0945,8,14.454685035975597,1.869564035148932e-14,1.6567256609976438e-11
0.0998,8,17.66416037426064,1.951523516771766e-14,1.6480537689391678e-11
0.105,8,21.22014486696746,2.028225939643159e-14,1.6399223857198157e-11
0.1103,8,25.268197668688593,2.1030647038478032e-14,1.6319836427991605e-11
0.1156,8,29.75215334312616,2.1745827590911157e-14,1.6243482021829342e-11
0.1208,8,34.54467844041829,2.2413098511511308e-14,1.6171989287700253e-11
0.1261,8,39.84465126049861,2.3063342534964107e-14,1.6102065467500695e-11
0.0261,9,1.0,3.4656164746913577e-15,1.4422974199073328e-11
0.0314,9,1.0645792514744472,4.0513520175296106e-15,1.4297017915030814e-11
0.0366,9,1.1605541550627276,4.700255160911448e-15,1.4176213506496715e-11
0.0419,9,1.296264572039146,5.3951537066851105e-15,1.4056753230539084e-11
0.0472,9,1.4721395953525618,6.090161491386963e-15,1.3941336891248156e-11
0.0524,9,1.6871444265470397,6.759835021640137e-15,1.3832160752714691e-11
0.0561,9,1.870624189176797,7.227740085038828e-15,1.3756799620833239e-11
0.0629,9,2.2978610004849034,8.071501348479461e-15,1.3623349192067404e-11
0.0682,9,2.741335743709836,8.713233777025986e-15,1.3523762192245199e-11
0.0735,9,3.316572641259167,9.3475295364247e-15,1.3427874743704534e-11
0.0787,9,4.041636879814277,9.96038547527752e-15,1.3337381685773636e-11
0.084,9,4.979470834055728,1.0575937974089414e-14,1.3248419401335396e-11
0.0893,9,6.143882902192762,1.1181571981739276e-14,1.31630101887506e-11
0.0945,9,7.542192209593592,1.176664868861724e-14,1.3082049564643484e-11
0.0998,9,9.246121362102686,1.2352425203309904e-14,1.3002651642823229e-11
0.105,9,11.206558344153157,1.2912457008097354e-14,1.292790589283214e-11
0.1103,9,13.51934822637474,1.3471839187544592e-14,1.285453338337671e-11
0.1156,9,16.16785732043052,1.4017086554692336e-14,1.27836953052478e-11
0.1208,9,19.085878635781576,1.4535885274804836e-14,1.2717019593338048e-11
0.1261,9,22.405457218198425,1.5051835440543232e-14,1.2651454728124227e-11
0.0261,10,1.0,2.7622183701834493e-15,1.1779153185162975e-11
0.0314,10,1.0345988735149139,3.0720650895238936e-15,1.1673036385542872e-11
0.0366,10,1.0902094299705678,3.4198043982060357e-15,1.1570884021838922e-11
0.0419,10,1.1726414305845834,3.802223029342815e-15,1.1469121497821536e-11
0.0472,10,1.2861447632120668,4.193225054407951e-15,1.1370177286371504e-11
0.0524,10,1.4288889334569042,4.570839583775155e-15,1.1275996227884631e-11
0.0561,10,1.5487615790262224,4.8346123344629295e-15,1.1210701252107889e-11
0.0629,10,1.8084140017134702,5.308036263332123e-15,1.1094389290282786e-11
0.0682,10,2.0503967350025896,5.671269702033122e-15,1.1007092350781504e-11
0.0735,10,2.3377564522600007,6.0333497082712036e-15,1.0922589392401911e-11
0.0787,10,2.6784649180924722,6.388006628785985e-15,1.084244453272693e-11
0.084,10,3.105951779926798,6.753690810373534e-15,1.0763307253550996e-11
0.0893,10,3.6335455471859133,7.120477045450194e-15,1.068696157644732e-11
0.0945,10,4.27500440120131,7.485788290701286e-15,1.061431164867296e-11
0.0998,10,5.074589958010131,7.859631937475027e-15,1.0542777448598652e-11
0.105,10,6.021572159016711,8.228072829271174e-15,1.0475175146601886e-11
0.1103,10,7.174048489864698,8.604418208592321e-15,1.040845347865975e-11
0.1156,10,8.537195396194425,8.981678368071299e-15,1.0343795158471331e-11
0.1208,10,10.086998248729651,9.349767564629516e-15,1.0282711401544912e-11
0.1261,10,11.903719526792155,9.723205586730795e-15,1.022237997454691e-11
0.0261,11,1.0,2.3813734473349932e-15,9.817514542034254e-12
0.0314,11,1.0163502193142686,2.562160920663466e-15,9.727193204273212e-12
0.0366,11,1.0477449192101134,2.7597575894969625e-15,9.640154788468576e-12
0.0419,11,1.0959149529541914,2.9780997576724498e-15,9.553129126276399e-12
0.0472,11,1.1635800384199295,3.2016684284481068e-15,9.468064419751766e-12
0.0524,11,1.2542611658241933,3.4150844269635658e-15,9.386682376726834e-12
0.0561,11,1.3348814849261736,3.559828112559455e-15,9.33001253465889e-12
0.0629,11,1.5171831935767734,3.811166983338145e-15,9.228698727006907e-12
0.0682,11,1.6865536146929785,3.997481757770964e-15,9.152277434069744e-12
0.0735,11,1.8776937318842555,4.17837148374091e-15,9.078035992216863e-12
0.0787,11,2.086816516961496,4.355028838962732e-15,9.00735948085934e-12
0.084,11,2.3267760938429407,4.538146902667076e-15,8.937309367835141e-12
0.0893,11,2.600474987242477,4.724632152747439e-15,8.869429739490492e-12
0.0945,11,2.9142090424028346,4.915483121439267e-15,8.804657096898963e-12
0.0998,11,3.2920664131866295,5.116218080966097e-15,8.740593068103499e-12
0.105,11,3.732882593833457,5.320667862895206e-15,8.679870784618782e-12
0.1103,11,4.270277160292178,5.537026286434131e-15,8.61972835449039e-12
0.1156,11,4.913584653773153,5.7611062465415456e-15,8.561277292510406e-12
0.1208,11,5.658817295034832,5.986839864097225e-15,8.505895426170932e-12
0.1261,11,6.552941830477725,6.2235664909930056e-15,8.450978274467955e-12
0.0261,12,1.0,2.1443872543842284e-15,8.318332012536816e-12
0.0314,12,1.004842882603704,2.2548197327095387e-15,8.240699485346211e-12
0.0366,12,1.021384051155139,2.3798126410006936e-15,8.165837521650388e-12
0.0419,12,1.0504794020786519,2.517131639030739e-15,8.090912100876775e-12
0.0472,12,1.0910572705378676,2.6561097980686884e-15,8.017468225902525e-12
0.0524,12,1.1442905402428614,2.785889124516126e-15,7.94697032055739e-12
0.0561,12,1.1930389694942645,2.870302346984309e-15,7.897743626212867e-12
0.0629,12,1.3113900877387696,3.0056342389732284e-15,7.809378380595603e-12
0.0682,12,1.4306528478764526,3.094268112091625e-15,7.74245171579938e-12
0.0735,12,1.5717572560370865,3.171576309445162e-15,7.677217216115003e-12
0.0787,12,1.7282229320041846,3.24033970232184e-15,7.614924968261341e-12
0.084,12,1.903671123341446,3.306316326214214e-15,7.55300173828283e-12
0.0893,12,2.093067489434909,3.3724921031239106e-15,7.492859817712985e-12
0.0945,12,2.2945968634338287,3.4401953253605704e-15,7.435256343272279e-12
0.0998,12,2.518361972489424,3.514451391499533e-15,7.378143658871506e-12
0.105,12,2.760607915375048,3.593365745434283e-15,7.323828870835607e-12
0.1103,12,3.0385594746413034,3.682765883579572e-15,7.2698988816964795e-12
0.1156,12,3.357437969187539,3.780186721757228e-15,7.2173091862790136e-12
0.1208,12,3.7175263761124677,3.884673525390306e-15,7.16733179263645e-12
0.1261,12,4.145052756917339,4.001161816199121e-15,7.117691712213054e-12
0.0261,13,1.0,1.9818503460926268e-15,7.146926164615824e-12
0.0314,13,0.9979123510319369,2.0415269363423395e-15,7.079541967871929e-12
0.0366,13,1.0037594585385263,2.125777699259722e-15,7.014526955671533e-12
0.0419,13,1.0205860889898197,2.2212193729619474e-15,6.949455592505359e-12
0.0472,13,1.0470790576413322,2.320117702585565e-15,6.8855503048794666e-12
0.0524,13,1.080792463307707,2.4117338515559527e-15,6.824088501635516e-12
0.0561,13,1.109855983466945,2.470092030788335e-15,6.78108455708035e-12
0.0629,13,1.1795363067504632,2.5558850693331987e-15,6.7037594822563626e-12
0.0682,13,1.2535468742055293,2.60192205595329e-15,6.6450300300647255e-12
0.0735,13,1.347979277612829,2.631795942416041e-15,6.5876429752322395e-12
0.0787,13,1.4602872922674386,2.646710972544273e-15,6.532712213700493e-12
0.084,13,1.5932406168067936,2.6517477250205247e-15,6.477967287115172e-12
0.0893,13,1.7413177015587797,2.649438881108053e-15,6.424653730650457e-12
0.0945,13,1.8993618978588676,2.643966918351339e-15,6.373483202862036e-12
0.0998,13,2.0707060885153243,2.637306575042928e-15,6.322630914188121e-12
0.105,13,2.247443192812301,2.633124130954101e-15,6.2741296349721605e-12
0.1103,13,2.4376255303924954,2.6325618686464507e-15,6.2258776431150696e-12
0.1156,13,2.6401070270371014,2.637638617122293e-15,6.178739655766844e-12
0.1208,13,2.8529457880293574,2.6501531593762466e-15,6.133858869010844e-12
0.1261,13,3.0901753929134843,2.6707109387065507e-15,6.089167617584098e-12
0.0261,14,1.0,1.8622441427063768e-15,6.213457152092228e-12
0.0314,14,0.9940711624025198,1.881996789039084e-15,6.1545494866770675e-12
0.0366,14,0.9929354728211951,1.9336434007499e-15,6.097579614846085e-12
0.0419,14,0.9996871383136219,2.0023951707713234e-15,6.0405807726122076e-12
0.0472,14,1.0163226420586502,2.079081055182821e-15,5.984576782609722e-12
0.0524,14,1.040400439394577,2.1537643404442578e-15,5.930665023273761e-12
0.0561,14,1.0607755019397478,2.202194391426216e-15,5.892863961412418e-12
0.0629,14,1.104679169620008,2.2746281918753697e-15,5.8247649959156454e-12
0.0682,14,1.1480591333435965,2.3103739840060792e-15,5.772916226673084e-12
0.0735,14,1.2039789786069426,2.3276775050432387e-15,5.722181021913329e-12
0.0787,14,1.274266275505845,2.3273203622352765e-15,5.673562525268898e-12
0.084,14,1.3634849005939864,2.311615901976238e-15,5.624992807001498e-12
0.0893,14,1.470209386835177,2.281909140891271e-15,5.577676948177716e-12
0.0945,14,1.59077596845826,2.243780108392025e-15,5.532147373176602e-12
0.0998,14,1.7274053443679067,2.1966214420269816e-15,5.48683254803993e-12
0.105,14,1.8715607766156945,2.1474481227001456e-15,5.443501840982008e-12
0.1103,14,2.0272780870544396,2.0944603429297825e-15,5.400362852511985e-12
0.1156,14,2.1902407782288695,2.0421030504894208e-15,5.358118507067766e-12
0.1208,14,2.3550040442286324,1.994007726330299e-15,5.317796535780137e-12
0.1261,14,2.5292889806421037,1.9484000537762794e-15,5.2776010082929136e-12
0.0261,15,1.0,1.7656519824527477e-15,5.4577915466654665e-12
0.0314,15,0.99197951458711,1.7588105379688009e-15,5.405847642036263e-12
0.0366,15,0.9869950369747565,1.7799770124818455e-15,5.355606082911224e-12
0.0419,15,0.986410561015353,1.826077023825161e-15,5.305286513939934e-12
0.0472,15,0.993640693942113,1.8837721473412144e-15,5.2558204816092676e-12
0.0524,15,1.0096758385389648,1.947583215378901e-15,5.208181999158061e-12
0.0561,15,1.0253394498575639,1.9918726762662007e-15,5.174777287405983e-12
0.0629,15,1.0593757210799877,2.0638987058353056e-15,5.114524404332559e-12
0.0682,15,1.089136161535969,2.104325605215523e-15,5.068580796091835e-12
0.0735,15,1.1233729828792987,2.1278032340856004e-15,5.023532467153108e-12
0.0787,15,1.164264157962249,2.1341756192979027e-15,4.980286858443673e-12
0.084,15,1.2171382194139924,2.1215931875311466e-15,4.937014332647681e-12
0.0893,15,1.2835754052010648,2.0934265732006536e-15,4.894799729919401e-12
0.0945,15,1.3640298169155536,2.050377322519399e-15,4.854112339518927e-12
0.0998,15,1.4611394287896606,1.995155193385903e-15,4.813579891265701e-12
0.105,15,1.5701935340125186,1.930446458141521e-15,4.774789543030521e-12
0.1103,15,1.6937767691817927,1.8582030941992947e-15,4.7361025416107636e-12
0.1156,15,1.8280140017288644,1.779483429320116e-15,4.6981819795817595e-12
0.1208,15,1.9671744133210702,1.6996234854698976e-15,4.6619454578988795e-12
0.1261,15,2.115249970823499,1.6181343461093277e-15,4.6257849873026784e-12
0.0261,16,1.0,1.6767761493092449e-15,4.8362178142536295e-12
0.0314,16,0.9909293002787304,1.6582942200302944e-15,4.789998503174262e-12
0.0366,16,0.9836917036660019,1.6567806384166981e-15,4.745309789066553e-12
0.0419,16,0.9790359553113483,1.6788831623579445e-15,4.700558235037382e-12
0.0472,16,0.9787822697975499,1.7184501729703225e-15,4.656584572580008e-12
0.0524,16,0.9860007728761818,1.7692382712000598e-15,4.6142167537883695e-12
0.0561,16,0.9962572349021097,1.8089933831150196e-15,4.584480308943328e-12
0.0629,16,1.023660797785226,1.8802778831321772e-15,4.530805932828481e-12
0.0682,16,1.0491115450751558,1.9285315725246514e-15,4.489848564369829e-12
0.0735,16,1.0761082537760331,1.963970807015202e-15,4.44966980167132e-12
0.0787,16,1.1042124179688035,1.9842033229983486e-15,4.411067205444414e-12
0.084,16,1.1363691278556844,1.9876345754266908e-15,4.37241299980908e-12
0.0893,16,1.1752564802460008,1.974621250230335e-15,4.334646668562889e-12
0.0945,16,1.222517362331719,1.9451832033175352e-15,4.298210881961072e-12
0.0998,16,1.2826251757816984,1.9005909686596892e-15,4.2618644551529236e-12
0.105,16,1.3538426086590813,1.8430992299326585e-15,4.227020056524978e-12
0.1103,16,1.4400357141605338,1.7733724495543577e-15,4.192245090230096e-12
0.1156,16,1.5392893285116824,1.693244078324355e-15,4.158125478335609e-12
0.1208,16,1.6474182212539599,1.6068197223926246e-15,4.125472407367471e-12
0.1261,16,1.7680264805511716,1.513395985064143e-15,4.092846304676072e-12
0.0261,17,1.0,1.5870824464830752e-15,4.3195238636146416e-12
0.0314,17,0.9904291586664418,1.5689347091171313e-15,4.2781042468649755e-12
0.0366,17,0.9821593846990552,1.5545597632912026e-15,4.238090791893135e-12
0.0419,17,0.9753008506047458,1.5550845518966685e-15,4.197986483963519e-12
0.0472,17,0.9707711397652407,1.576119647515842e-15,4.158564778850645e-12
0.0524,17,0.9706530567099024,1.6109349005671186e-15,4.120621018941014e-12
0.0561,17,0.9747826538226652,1.6424381656756618e-15,4.0940023163024574e-12
0.0629,17,0.9926691252227835,1.7086545511468533e-15,4.045909543983355e-12
0.0682,17,1.0141855609195078,1.7599879552556509e-15,4.009175312098635e-12
0.0735,17,1.039105411650602,1.804713015329568e-15,3.973103853761451e-12
0.0787,17,1.064419095749771,1.8383303290950976e-15,3.938413136778004e-12
0.084,17,1.0904739849130922,1.860878559146222e-15,3.9036360391577554e-12
0.0893,17,1.1172919019354173,1.8668718473098095e-15,3.869675524082931e-12
0.0945,17,1.1465988768182998,1.8593978094061347e-15,3.836863043796191e-12
0.0998,17,1.181657114680431,1.834379987979757e-15,3.80413902516807e-12
0.105,17,1.223580731601062,1.797262155962676e-15,3.77272896632662e-12
0.1103,17,1.2758566570933472,1.7436363730245169e-15,3.74140042478402e-12
0.1156,17,1.339383901210125,1.6779720807724437e-15,3.710612043061845e-12
0.1208,17,1.4127430960319871,1.6034330581586734e-15,3.681099469579485e-12
0.1261,17,1.4989714669829408,1.5161975772082314e-15,3.651614640416476e-12
0.0261,18,1.0,1.4970001475074644e-15,3.884078161383579e-12
0.0314,18,0.9901993801837448,1.4844215232946984e-15,3.846702563748149e-12
0.0366,18,0.9813896091138941,1.465252883939246e-15,3.810655957958524e-12
0.0419,18,0.9733439400742387,1.452586544314712e-15,3.774532080190992e-12
0.0472,18,0.9666535185912905,1.4553978809099405e-15,3.739024585713241e-12
0.0524,18,0.9622649791201279,1.472915689035664e-15,3.704852685916683e-12
0.0561,18,0.9616282987291321,1.4937133131332174e-15,3.680883577424096e-12
0.0629,18,0.9686895056109539,1.547204265392426e-15,3.637549699810594e-12
0.0682,18,0.982853395775439,1.5952457160071734e-15,3.6044271958352682e-12
0.0735,18,1.0032957775096973,1.6432894935941201e-15,3.571890130881541e-12
0.0787,18,1.026966602798451,1.6863308302909725e-15,3.5405696898659817e-12
0.084,18,1.052610871665984,1.7230889278757541e-15,3.5091524524944965e-12
0.0893,18,1.0779144194464534,1.7475467155125438e-15,3.478471338630353e-12
0.0945,18,1.1026200884260204,1.760848216854822e-15,3.4487974248155227e-12
0.0998,18,1.128103294407885,1.759078861235597e-15,3.4191993925945834e-12
0.105,18,1.1552443150472185,1.7452485763362988e-15,3.390758203949855e-12
0.1103,18,1.1867998294945454,1.7155580250646173e-15,3.362378106289812e-12
0.1156,18,1.2245976189240533,1.6725956011144597e-15,3.3344772484498576e-12
0.1208,18,1.269058191021579,1.6191202364388457e-15,3.3077084364368525e-12
0.1261,18,1.3232399721294705,1.551186827975584e-15,3.280954189905487e-12
0.0261,19,1.0,1.4070144860450708e-15,3.514264052931447e-12
0.0314,19,0.9900806265680253,1.4000174213095453e-15,3.480319039549357e-12
0.0366,19,0.9809665864627054,1.3827060678856144e-15,3.4476393797397664e-12
0.0419,19,0.9723770196480536,1.3645931460532105e-15,3.4149314074302778e-12
0.0472,19,0.9646376864947815,1.3532535706878557e-15,3.382799724454117e-12
0.0524,19,0.9581723691892525,1.3549430646564885e-15,3.3518518788633196e-12
0.0561,19,0.9546115022077798,1.3644998755047694e-15,3.3301369135278467e-12
0.0629,19,0.9527310044246896,1.399783662547179e-15,3.2908698268631e-12
0.0682,19,0.9583914666366891,1.4390255397827957e-15,3.260851165265786e-12
0.0735,19,0.9716305072111111,1.4840243597532834e-15,3.231371615085834e-12
0.0787,19,0.9911485593925091,1.5301698504030137e-15,3.202976775882814e-12
0.084,19,1.0155231146549677,1.5743510714114956e-15,3.1744934998793578e-12
0.0893,19,1.041885835964168,1.6126639684749409e-15,3.146652722821108e-12
0.0945,19,1.0677662797873122,1.6420957667425276e-15,3.119713831787145e-12
0.0998,19,1.0930761187640488,1.6617319597900334e-15,3.0928201362834264e-12
0.105,19,1.116647056643191,1.6695486411133408e-15,3.066957598311442e-12
0.1103,19,1.1403400309325966,1.6651537822464954e-15,3.041115711315302e-12
0.1156,19,1.165174414193014,1.6475504203447749e-15,3.0157176841357093e-12
0.1208,19,1.1919457625529488,1.618481650622215e-15,2.9913430054285692e-12
0.1261,19,1.2237756144380956,1.5761874257943586e-15,2.9669593010280164e-12
0.0261,20,1.0,1.3173387411069648e-15,3.197277573021578e-12
0.0314,20,0.9899637419400138,1.3123851184335525e-15,3.1662848976395627e-12
0.0366,20,0.980692815624136,1.3016721340239656e-15,3.1364773679111866e-12
0.0419,20,0.971912751291725,1.2836045522265618e-15,3.1066826376070017e-12
0.0472,20,0.9635698588528885,1.265538479954368e-15,3.077425994477393e-12
0.0524,20,0.9560393104187412,1.2554940358111321e-15,3.0492308762493707e-12
