k (h/Mpc),x,omega_b,omega_m,T(k),log10(T(k))
0.0020053127500159495,0.01846512661156491,0.0214,0.13,0.9647020077872609,-0.015606817598859924
0.0025245391795899234,0.023246217123295793,0.0214,0.13,0.9516811236457483,-0.02150854472425695
0.003178206526255753,0.02926525346460178,0.0214,0.13,0.9346583945379214,-0.02934708910096724
0.004001124959833434,0.03684277126918448,0.0214,0.13,0.9127929712500715,-0.03962771276059254
0.005037117887698227,0.04638230099169638,0.0214,0.13,0.8852042083679174,-0.05295653005135464
0.006341355711026257,0.05839185737593238,0.0214,0.13,0.851028737515779,-0.07005577442328202
0.007983293849837024,0.07351099309242196,0.0214,0.13,0.8094315883526301,-0.09181985111871867
0.01005037149737992,0.0925448572502755,0.0214,0.13,0.7595945328634771,-0.11941816973250334
0.012652668076023376,0.1165070725232355,0.0214,0.13,0.7007856107413325,-0.15441482413420346
0.015928765367885428,0.14667371425308864,0.0214,0.13,0.6324688039906827,-0.19896089084594165
0.02005312738452417,0.18465126505086712,0.0214,0.13,0.554755463010224,-0.2558984123163004
0.025245296198646818,0.2324612909635987,0.0214,0.13,0.4696028720833962,-0.32826925561445347
0.03176791385172902,0.29252222699566316,0.0214,0.13,0.38268579793773744,-0.41715765481684014
0.03951110889798135,0.3638223655431064,0.0214,0.13,0.3076817292466138,-0.5118982922574681
0.04616085756068104,0.42505393702284566,0.0214,0.13,0.264180133466551,-0.5780998447466861
0.05096328396347044,0.46927517461759155,0.0214,0.13,0.24166624576713827,-0.6167840045397107
0.05490398307232932,0.5055615384192387,0.0214,0.13,0.2269721094733515,-0.6440275060051147
0.058413257354210275,0.5378752979209049,0.0214,0.13,0.21575078509583392,-0.6660476152550793
0.061681282246121655,0.5679676081594995,0.0214,0.13,0.2062301554294286,-0.6856478309096025
0.0648080294852235,0.5967590192009531,0.0214,0.13,0.19756006343354165,-0.7043008430650921
0.06785315066971015,0.6247988091133531,0.0214,0.13,0.18928601368510858,-0.722881474804212
0.07085568520194074,0.6524464567397859,0.0214,0.13,0.18114921949813947,-0.7419635328322122
0.07384306681494839,0.6799545747232816,0.0214,0.13,0.1730376573701788,-0.7618593731233531
