k (h/Mpc),x,omega_b,omega_m,omega_nu,T(k),log10(T(k))
1.006679028200371e-05,9.215128139363714e-05,0.0214,0.13,0.000642,1.0,0.0
1.2673338101217042e-05,0.00011601158987584484,0.0214,0.13,0.000642,0.9999989139346128,-4.716724607716355e-07
1.5954787387881374e-05,0.000146049938557344,0.0214,0.13,0.000642,0.9999972165571462,-1.2088355544440727e-06
2.0085887282376947e-05,0.00018386597904081713,0.0214,0.13,0.000642,0.9999944300078688,-2.4190235837993227e-06
2.5286633918217626e-05,0.00023147355337889845,0.0214,0.13,0.000642,0.999990051155573,-4.320749729209395e-06
3.183398601838048e-05,0.0002914079385069889,0.0214,0.13,0.000642,0.9999830748563937,-7.350558678439883e-06
4.007661395723941e-05,0.00036686085898500037,0.0214,0.13,0.000642,0.999972059917767,-1.2134393056451184e-05
5.045346772943349e-05,0.00046185045796885346,0.0214,0.13,0.000642,0.9999546173281137,-1.970989122137093e-05
6.351715263772079e-05,0.0005814352779857636,0.0214,0.13,0.000642,0.9999270096943239,-3.170044391417782e-05
7.996335754043563e-05,0.0007319836467698836,0.0214,0.13,0.000642,0.9998834064747261,-5.0638876792066216e-05
0.00010066790282003716,0.0009215128139363721,0.0214,0.13,0.000642,0.9998146069752537,-8.052263202848022e-05
0.0001267333810121705,0.0011601158987584491,0.0214,0.13,0.000642,0.9997063417072521,-0.0001275529055065203
0.00015954787387881386,0.001460499385573441,0.0214,0.13,0.000642,0.9995366599376408,-0.0002012726647734818
0.0002008588728237696,0.0018386597904081726,0.0214,0.13,0.000642,0.9992723847292108,-0.0003161143158056724
0.0002528663391821764,0.0023147355337889857,0.0214,0.13,0.000642,0.9988646432788844,-0.0004933592813868671
0.00031833986018380505,0.002914079385069891,0.0214,0.13,0.000642,0.9982442341510335,-0.0007631896070747656
0.00040076613957239443,0.0036686085898500064,0.0214,0.13,0.000642,0.997318282244167,-0.0011662196592190923
0.0005045346772943354,0.004618504579688538,0.0214,0.13,0.000642,0.9959695152132392,-0.0017539543245809423
0.0006351715263772084,0.005814352779857641,0.0214,0.13,0.000642,0.9940535989683952,-0.0025901979883653716
0.0007996335754043569,0.007319836467698841,0.0214,0.13,0.000642,0.9913759317697288,-0.0037616289314510607
0.0010066790282003723,0.009215128139363727,0.0214,0.13,0.000642,0.9876337853389863,-0.005404061980969977
0.0012673338101217057,0.011601158987584497,0.0214,0.13,0.000642,0.9823894572602242,-0.0077163069096228545
0.0015954787387881394,0.014604993855734417,0.0214,0.13,0.000642,0.9751188849502294,-0.010942432578028915
0.002008588728237697,0.018386597904081734,0.0214,0.13,0.000642,0.9651950946433244,-0.01538489394803161
0.0025286633918217656,0.023147355337889874,0.0214,0.13,0.000642,0.9518841790064763,-0.02141589140377812
0.003183398601838052,0.029140793850698926,0.0214,0.13,0.000642,0.9343880996311634,-0.02947270137190445
0.004007661395723946,0.03668608589850008,0.0214,0.13,0.000642,0.9118872744367615,-0.04005884491268363
0.005045346772943356,0.046185045796885406,0.0214,0.13,0.000642,0.883564074165712,-0.05376195091375615
0.006351715263772087,0.05814352779857643,0.0214,0.13,0.000642,0.8486160536917892,-0.0712887567270613
0.007996335754043573,0.07319836467698845,0.0214,0.13,0.000642,0.8062441724882133,-0.09353341141448497
0.010066790282003727,0.0921512813936373,0.0214,0.13,0.000642,0.7556949067441048,-0.12165350484373619
0.012673338101217064,0.11601158987584503,0.0214,0.13,0.000642,0.6962834752610896,-0.15721391171524762
0.015954787387862965,0.1460499385571755,0.0214,0.13,0.000642,0.6275830342386467,-0.20232880542310183
0.02008588716045542,0.1838659779247489,0.0214,0.13,0.000642,0.5497731439080997,-0.25981647900217114
0.025286534432213938,0.23147264268517545,0.0214,0.13,0.000642,0.4648109470097002,-0.33272365219706934
0.03181941477677484,0.291274553530463,0.0214,0.13,0.000642,0.3783862012619768,-0.4220647095457432
0.03956649541302458,0.36219123975233497,0.0214,0.13,0.000642,0.3040743436920636,-0.5170202219572158
0.04620084499587586,0.4229219988271531,0.0214,0.13,0.000642,0.2611381189514061,-0.5831297285527071
0.050995001433621005,0.46680765121126494,0.0214,0.13,0.000642,0.23889959441244374,-0.6217845875652629
0.054931902405705266,0.5028459970131017,0.0214,0.13,0.000642,0.22437259280434463,-0.6490301934086272
0.05843920005878389,0.5349517590192773,0.0214,0.13,0.000642,0.21326238477204396,-0.6710857386740213
0.06170614111069176,0.5648572994882166,0.0214,0.13,0.000642,0.20383976661980022,-0.6907110865768422
0.06483231100354331,0.5934742224011214,0.0214,0.13,0.000642,0.1952585323026265,-0.7093899794686581
0.06787717431191534,0.6213468657834472,0.0214,0.13,0.000642,0.1870640151139266,-0.7280097482590182
0.07087966939881436,0.6488316709581878,0.0214,0.13,0.000642,0.17901041661138026,-0.7471216967004538
0.07386717087357321,0.6761792247814321,0.0214,0.13,0.000642,0.1709826522594887,-0.7670479504859886
0.07686006059357721,0.7035761025391077,0.0214,0.13,0.000642,0.16295530225545304,-0.7879315038528959
0.07987426047073556,0.7311680532280218,0.0214,0.13,0.000642,0.15496801032835497,-0.8097579429375631
0.08292272989287283,0.7590737069338974,0.0214,0.13,0.000642,0.14710652560825407,-0.8323680616518286
0.08601639814832454,0.787393110235299,0.0214,0.13,0.000642,0.1394867865661081,-0.8554669306930335
0.08916477008730458,0.8162132704207592,0.0214,0.13,0.000642,0.1322382026721998,-0.8786430621502385
