Complexity,Loss,Equation
1,0.18460098,"1.0888121"
3,0.16788428,"(28.24113 / ell)"
4,0.14016463,"(3.7565298 / log(ell))"
5,0.11952601,"cosh(3.7565298 - log(ell))"
6,0.10512091,"exp((0.8057341 ^ ell) * ell)"
7,0.020278985,"cosh(tan(sin(log(ell)) + 0.37611705))"
9,0.0091224145,"cosh(tan(sin(tan(sin(log(ell)))) + 0.36094022))"
10,0.00902992,"cosh(tan(sin(tan(sin(log(ell)))) + sinh(0.3522465)))"
11,0.007848327,"cosh(tan(sin(log(ell + cos(log(ell)))) + 0.36094022))"
12,0.0019053209,"cosh(tan(sin(log(ell + cos(-0.37978855 * ell))) + 0.36094022))"
13,0.0016735239,"cosh(tan(sin(log(ell + cos(0.38054523 * ell))) + tanh(0.38054523)))"
14,0.0012274133,"cosh(tan(sin(log(ell + sin(cos(0.38325578 * ell)))) + tanh(0.38325578)))"
16,0.0011805996,"(cosh(tan(sin(log(ell + sin(cos(0.38325578 * ell)))) + tanh(0.38325578))) + -0.0052051116)"
18,0.0011802102,"(cosh(tan(sin(log(ell + sin(cos(0.38325578 * ell)))) + tanh(sin(sin(0.40490657))))) + -0.0052051116)"
19,0.001159084,"(cosh(tan(sin(log(ell + sin(cos(0.381177 * ell) * 0.9743781))) + tanh(tanh(0.40490657)))) + -0.0052051116)"
20,0.0011563341,"(cosh(tan(sin(log(ell + sin(cos(0.381177 * ell) * 0.9743781))) + sin(sin(tanh(0.40490657))))) + -0.0052051116)"
