Complexity,Loss,Equation
1,0.13605374,"1.1317862"
3,0.1352797,"(1.0601948 + tau)"
4,0.11735759,"exp(0.91612697 ^ ell)"
6,0.10707779,"(exp(39.99503 / ell) ^ tau)"
7,0.097950004,"(((tau * 109.69361) / ell) + 0.8339382)"
8,0.07615188,"(exp(ell) ^ (0.9796164 ^ (ell / tau)))"
9,0.05485506,"(ell ^ ((0.9796164 ^ (ell / tau)) / 0.2038107))"
10,0.05133513,"((ell ^ exp(1.541625)) ^ (0.98082423 ^ (ell / tau)))"
11,0.027422965,"(ell ^ ((tau ^ (ell * 0.2097868)) * (ell * ell)))"
13,0.024344014,"((((ell ^ ((tau ^ ell) ^ 0.2102877)) ^ ell) ^ ell) + tau)"
14,0.024295982,"((ell ^ (((tau ^ (ell * 0.21028753)) * ell) * ell)) * exp(tau))"
15,0.023620963,"(((((ell + tau) ^ ((tau ^ ell) ^ 0.21028753)) ^ ell) ^ ell) + tau)"
16,0.020510502,"((((log(tau) - -2.4836748) + ell) ^ ((tau ^ (ell * 0.21028753)) * ell)) ^ ell)"
18,0.016994126,"(((((log(tau) - -2.4836748) + ell) ^ ((tau ^ (ell * 0.21028753)) * ell)) ^ ell) + tau)"
20,0.015036146,"((((ell ^ (tau ^ (ell * 0.21028753))) ^ ell) ^ ((log(tau - -0.9330661) / tau) + ell)) + tau)"
