Complexity,Loss,Equation
1,1068.1595,"24.685173"
3,4.1300807,"(x0 * x0)"
5,3.4717278,"((x0 * x0) + -0.8114023)"
6,1.8424144,"((x0 * x0) + cos(x3))"
8,0.43196094,"((x0 * x0) + (cos(x3) * 2.496202))"
10,0.20948984,"((x0 * x0) + ((cos(x3) * 2.496202) + -0.49775085))"
11,0.20887053,"((x0 * x0) + ((cos(x3) * 2.496202) + sin(-0.49775085)))"
12,0.2088522,"(((x0 * x0) + (cos(x3) * 2.496202)) + (-0.62239885 * 0.76334614))"
18,0.20881206,"(((x0 * x0) + -0.47126406) + (exp(cos(cos((1.7145393 + log(1.286759)) + -0.81606203))) * cos(x3)))"
