Complexity,Loss,Equation
1,0.5247787,"-0.91665983"
3,0.25895184,"(-0.35850954 * x)"
5,0.0071019945,"(0.07266252 - (x ^ 0.42682785))"
7,0.004212642,"(x - ((x ^ 0.8177003) * 1.8876493))"
8,0.00087931816,"log10(0.12415013 / (0.126278 + (x ^ 1.4676615)))"
9,0.00087914633,"(log10(0.12398064) - log10(0.126278 + (x ^ 1.4676615)))"
10,0.00067207165,"log10(0.2517179 / ((x ^ 1.7542472) - (-0.24534589 - x)))"
11,0.0006720566,"(log10(0.25160787) - log10(((x ^ 1.7538569) + x) + 0.2452573))"
14,0.00067193154,"log10(0.2517179 / ((x ^ 1.7542472) - ((-0.24534589 - x) - (x * -0.0047312593))))"
15,0.00066015054,"(log10(0.25175953) - log10((((x ^ 0.75438327) * x) + 0.24539831) + (x ^ 1.0150799)))"
16,0.0006057568,"(-0.1632102 - log10(0.68293047 + ((((x + x) ^ 1.2585615) * 1.8839579) + (x * x))))"
20,0.00060573913,"((-0.16270734 * (1.0064981 ^ 0.35180184)) - log10(0.68293047 + ((((x + x) ^ 1.2585615) * 1.8839579) + (x * x))))"
21,0.00060567434,"(-0.16270734 - log10(0.68293047 + (((((x + x) ^ 1.2585615) * 1.8839579) - (0.0013534046 * log10(x))) + (x * x))))"
23,0.0006050895,"(-0.16270734 - log10(0.68293047 + (((((x + x) ^ 1.2585615) * 1.8839579) - (0.0013534046 * (log10(x) + 1.8839579))) + (x * x))))"
25,0.0006050266,"(-0.16270734 - log10(0.68293047 + (((((x + x) ^ 1.2585615) * 1.8839579) - (0.0013534046 * (log10(x) + (1.8839579 - x)))) + (x * x))))"
