Complexity,Loss,Equation
1,75.05031,"3.373072"
3,65.34068,"(40.65517 / ell)"
5,55.973995,"((0.8987034 ^ ell) / 0.047710344)"
6,37.947445,"(exp(33.20439 - ell) ^ tau)"
7,14.858158,"(tau / ((0.0630751 * ell) ^ ell))"
9,11.611529,"((tau / ((0.07144729 * ell) ^ ell)) ^ 1.3126369)"
10,3.490266,"exp(tau / (((0.057443477 * ell) - -0.20437336) ^ ell))"
12,2.2536938,"exp((tau / (((0.056990206 * ell) - -0.21930204) ^ ell)) - -0.4924874)"
14,1.3848646,"(exp((tau / (((0.056074698 * ell) - -0.24246106) ^ ell)) + 1.1168332) + -2.217929)"
15,1.305824,"(exp((tau / (((0.056074698 * ell) - -0.24246106) ^ ell)) + exp(tau)) - 2.096386)"
17,1.178691,"(exp((log(tau / (((0.056074698 * ell) - -0.24246106) ^ ell)) / 0.40566254) + 1.3400687) + 0.9567867)"
18,1.0670998,"(exp((log(tau / (((0.056272745 * ell) - -0.23254852) ^ ell)) / 0.40561706) + exp(tau)) + 0.9821266)"
19,1.0426939,"(exp((log(tau / (((0.056074698 * (ell - tau)) - -0.24246106) ^ ell)) / 0.40585563) + 1.1644348) + 1.0350145)"
20,1.0333416,"(exp((log(tau / (((0.056074698 * (ell - tau)) - -0.24246106) ^ ell)) / 0.40585563) + 1.1644348) + exp(tau))"
21,0.9742034,"(exp(((log(tau / (((0.056074698 * ell) - -0.24223608) ^ ell)) / 0.40585563) + tau) + (ell ^ tau)) + 1.0536208)"
22,0.9671924,"(exp(((log(tau / (((0.056074698 * ell) - -0.24223608) ^ ell)) / 0.40585563) + tau) + (ell ^ tau)) + exp(tau))"
23,0.9665529,"((exp(((log(tau / (((0.056074698 * ell) - -0.24223608) ^ ell)) / 0.40585563) + (ell ^ tau)) + tau) + 0.9675914) + tau)"
24,0.92842656,"(exp(((log(tau / (((0.056074698 * ell) - -0.24246106) ^ ell)) / 0.40585563) + (ell ^ tau)) + tau) + exp(1.6332651 / ell))"
26,0.91520625,"(exp(((log(tau / (((0.056074698 * ell) - -0.24246106) ^ ell)) / 0.40585563) + tau) + (ell ^ tau)) + exp((tau / ell) / 0.05201591))"
27,0.90617585,"(exp(((log(tau / (((0.056074698 * ell) - -0.24246106) ^ ell)) / 0.40585563) + (ell ^ tau)) + tau) + exp((-0.24246106 + exp(tau)) ^ ell))"
28,0.88777596,"((exp((log(tau / (((0.056074698 * ell) - -0.24246106) ^ ell)) / 0.40585563) + ((ell + ell) ^ tau)) + (tau / (0.056074698 * log(ell)))) + 0.586057)"
30,0.883459,"((exp(((log(tau / (((0.056074698 * ell) - -0.24246106) ^ ell)) / 0.40566254) + tau) + ((ell - 0.43291542) ^ tau)) + (tau / (0.056074698 * log(ell)))) + 0.586057)"
