Complexity,Loss,Equation
1,0.16137302,"0.34543195"
3,0.00088891335,"(0.07114761 ^ x)"
5,0.0005483831,"((0.05171166 ^ x) + 0.024386225)"
6,0.00054838305,"((log10(1.1264101) ^ x) + 0.024386225)"
7,4.484416e-5,"(0.12298569 / ((x ^ 1.3714926) + 0.12298569))"
9,4.4842014e-5,"(0.12298569 / (((x ^ 0.37367487) * x) + 0.12298569))"
11,4.4786393e-5,"(0.12505727 / (0.12505727 + ((x ^ 1.3626965) * (1.0140175 ^ x))))"
13,4.4582e-5,"(0.12505727 / (0.12505727 + ((x ^ 1.3626965) - (-0.010420844 * (x ^ 3.1620834)))))"
15,4.432589e-5,"(0.12505727 / (0.12505727 + ((x ^ 1.3626965) - ((-0.010420844 / (x - 0.2534237)) * 0.008060073))))"
17,4.1266823e-5,"(0.12505727 / (0.12505727 + ((x ^ 1.3626965) - ((-0.010420844 / (x - 0.2534237)) * (x ^ 3.1620834)))))"
19,4.117349e-5,"(0.12505727 / (0.12505727 + ((x ^ 1.3626965) - ((-0.010420844 / (x - 0.2534237)) * ((x / 0.9492815) ^ 3.1620834)))))"
21,4.0879022e-5,"(0.12505727 / (0.12505727 + ((x ^ 1.3626965) - ((-0.010420844 / (x - 0.2534237)) * ((x ^ 3.1620834) / (0.7694831 ^ x))))))"
23,4.0877512e-5,"(0.12505727 / (0.12505727 + ((x ^ 1.3626965) - ((-0.010420844 / (x - 0.2534237)) * ((x ^ 3.1620834) / ((0.88386077 ^ x) ^ 2.0407872))))))"
25,4.0793147e-5,"(0.12505727 / (0.12505727 + (((x ^ 1.3626965) * 0.9989302) - ((-0.010420844 / (x - 0.2534237)) * ((x ^ 3.1620834) / ((0.88386077 ^ x) ^ 2.0407872))))))"
