Complexity,Loss,Equation
1,0.16198112,"0.3413778"
3,0.0008121475,"(0.038689442 ^ x0)"
5,0.00048858626,"((0.02632025 ^ x0) - -0.023614941)"
7,1.1825535e-5,"(0.0899405 / (0.0899405 + (x0 ^ 1.3842269)))"
9,1.1692336e-5,"(0.0899405 / (0.0899405 + (x0 * (x0 ^ 0.3868092))))"
11,1.0974678e-5,"(0.0899405 / (0.0899405 + (x0 * ((x0 * 0.95079565) ^ 0.37410507))))"
13,1.0933368e-5,"(0.087817885 / (0.087817885 + (x0 * ((x0 * (0.37410507 + 0.5147037)) ^ 0.37410507))))"
15,1.0915462e-5,"(0.08476878 / (0.08476878 + (((x0 / (0.08476878 + x0)) ^ x0) * (x0 ^ 1.3835485))))"
17,1.0128268e-5,"(0.08476878 / (0.08476878 + (x0 / ((0.103083216 / ((x0 ^ x0) / x0)) + (x0 ^ -0.40735072)))))"
19,1.0010891e-5,"(0.08476878 / (0.08476878 + (x0 / ((0.103083216 / ((x0 ^ x0) / (x0 ^ 0.9069203))) + (x0 ^ -0.40735072)))))"
21,9.945651e-6,"(0.08476878 / (0.08476878 + (x0 / ((0.09544979 / (((x0 ^ x0) / x0) / (x0 ^ -0.26482335))) + (x0 ^ -0.40735072)))))"
23,9.932176e-6,"(0.08476878 / (0.08476878 + (x0 / ((0.09544979 / (((x0 ^ x0) / (x0 ^ 1.0382419)) / (x0 ^ -0.26482335))) + (x0 ^ -0.40735072)))))"
