Complexity,Loss,Equation
1,0.54352456,"-0.93734276"
3,0.2725686,"(x * -0.36303842)"
5,0.0073005003,"(0.058054134 - (x ^ 0.4313131))"
7,0.002234541,"(-1.0610905 / (0.38135058 + (0.74242926 / x)))"
8,0.00021830433,"log10((0.3545124 / (x + 0.34528655)) ^ 1.6882774)"
10,0.0001431781,"log10(((0.24971718 / (x + 0.3545124)) ^ 1.6882774) / 0.53646463)"
14,9.9041186e-5,"log10(0.30548695 / ((x + (((x + x) ^ 0.6732778) * x)) + 0.30548695))"
16,8.387161e-5,"log10(0.30548695 / ((x + (((x + x) ^ 0.6732778) * (x + -0.013987116))) + 0.30548695))"
17,4.6019828e-5,"log10(0.3179009 / (0.3179009 + (x * ((log10(x) - -1.2372441) + (0.6001951 * (x - -1.440614))))))"
19,4.4671306e-5,"log10(0.3179009 / (0.3179009 + (x * ((log10(x + x) - -1.2372441) + (0.6001951 * (x - -0.96033937))))))"
