Complexity,Loss,Equation
1,0.8076275,"0.0063979947"
3,0.31300983,"(0.09679284 ^ x0)"
5,0.12025403,"(0.061086237 / (x0 + 0.054910444))"
7,0.0042958185,"(-0.09440711 / (-0.09440711 - (x0 ^ 1.4319453)))"
9,0.0036796243,"(x0 / (((0.38682786 / x0) ^ -2.467209) + x0))"
11,0.0023445592,"((x0 / (((0.3804774 / x0) ^ -2.404987) + x0)) + -0.0010528059)"
15,0.0022483934,"(0.26773748 / ((0.26384604 + (((0.74440616 / x0) ^ -2.6755416) * (0.7757115 / x0))) + x0))"
19,0.0021288167,"(x0 / (((((0.2551135 / x0) ^ -1.3733201) - ((x0 + (x0 * x0)) * -1.7682811)) * x0) + x0))"
21,0.0021065108,"(x0 / (((((0.2551135 / x0) ^ -1.3733201) - ((x0 + ((x0 + 0.026412927) * x0)) * -1.7682811)) * x0) + x0))"
23,0.0021031233,"(x0 / (((((((0.2551135 / x0) ^ -1.3733201) + x0) - ((x0 * x0) * -1.7682811)) + (x0 * 0.8451575)) * x0) + x0))"
25,0.0020989184,"(x0 / ((((((((0.2551135 / x0) ^ -1.3733201) - 0.016344149) + x0) - ((x0 * x0) * -1.7682811)) + (x0 * 0.88417274)) * x0) + x0))"
