ell,tau,EE,TE,TT
6,0.06,5.268712309602709e-16,3.62403263881788e-14,3.0559655725629184e-11
7,0.06,2.283346758619636e-16,2.1013138326445694e-14,2.245193018323197e-11
8,0.06,1.1466182302873194e-16,1.2473990016293063e-14,1.723456709344637e-11
9,0.06,7.493581712489584e-17,7.713569493524079e-15,1.3679494645522218e-11
0,0.07999999999999999,0.0,0.0,0.0
1,0.07999999999999999,0.0,0.0,0.0
2,0.07999999999999999,1.0052092063758327e-14,5.786112229109682e-13,2.935401826808538e-10
3,0.07999999999999999,7.183966572787539e-15,2.3906260484470984e-13,1.248978689643027e-10
4,0.07999999999999999,4.550017370418822e-15,1.2664512494022018e-13,6.891817774546788e-11
5,0.07999999999999999,2.5864051808146506e-15,7.31658324058126e-14,4.364027738320489e-11
6,0.07999999999999999,1.3333185370801461e-15,4.370282995819518e-14,3.007172730754259e-11
7,0.07999999999999999,6.356093677170195e-16,2.6538439130183282e-14,2.1998315527898077e-11
8,0.07999999999999999,2.960794600705392e-16,1.6272799034218344e-14,1.6824637105163983e-11
9,0.07999999999999999,1.5183341420427366e-16,1.0113034141171042e-14,1.3315115125588853e-11
0,0.09999999999999999,0.0,0.0,0.0
1,0.09999999999999999,0.0,0.0,0.0
2,0.09999999999999999,1.250103543718206e-14,5.738732225931322e-13,2.937324548028677e-10
3,0.09999999999999999,9.809510128546132e-15,2.4360875897711593e-13,1.247190753956996e-10
4,0.09999999999999999,6.853998529447596e-15,1.3305979875574585e-13,6.859029789146944e-11
5,0.09999999999999999,4.34470024074306e-15,7.9411136397056e-14,4.3256978070909045e-11
6,0.09999999999999999,2.5207310526342646e-15,4.910386625352349e-14,2.9680666279421066e-11
7,0.09999999999999999,1.3478780683498875e-15,3.089025176274694e-14,2.1623732987745864e-11
8,0.09999999999999999,6.752807357124243e-16,1.9543022416982922e-14,1.6477589356383757e-11
9,0.09999999999999999,3.3238402387357004e-16,1.2372560655871397e-14,1.2999945306309848e-11
0,0.12,0.0,0.0,0.0
1,0.12,0.0,0.0,0.0
2,0.12,1.479008433156119e-14,5.637982932853402e-13,2.9323875213474676e-10
3,0.12,1.2388621629471973e-14,2.4542027087055165e-13,1.2461786493437455e-10
4,0.12,9.270290744195039e-15,1.3705515054418246e-13,6.834090511805988e-11
5,0.12,6.343904074324868e-15,8.371971007621392e-14,4.2957902841064015e-11
6,0.12,4.007930188806461e-15,5.3074845143467754e-14,2.936449423739935e-11
7,0.12,2.347989419112478e-15,3.4308530346285294e-14,2.131225811272358e-11
8,0.12,1.2826377236985403e-15,2.2312041187475783e-14,1.618284098057818e-11
9,0.12,6.64483340902528e-16,1.44566255277803e-14,1.2727163343025e-11
0,0.02,0.0,0.0,0.0
1,0.02,0.0,0.0,0.0
2,0.02,1.8790377466500488e-15,4.797319975444418e-13,2.9228632597289277e-10
3,0.02,5.011922195520738e-16,1.5120001176047207e-13,1.2634213543865057e-10
4,0.02,1.4503173232286668e-16,5.844262728986621e-14,7.090337247475573e-11
5,0.02,6.235393869108222e-17,2.4574999267481467e-14,4.568483435759545e-11
6,0.02,4.3037595528760535e-17,1.1230889968944711e-14,3.196444573218185e-11
7,0.02,3.721023067867517e-17,5.94370836237046e-15,2.3674758025013248e-11
8,0.02,3.505113641681247e-17,3.816453725505614e-15,1.8281599490101734e-11
9,0.02,3.431483498782714e-17,2.903292493906642e-15,1.4570952164543725e-11
0,0.039999999999999994,0.0,0.0,0.0
1,0.039999999999999994,0.0,0.0,0.0
2,0.039999999999999994,4.6448680831581136e-15,5.566936164650679e-13,2.927382877576825e-10
3,0.039999999999999994,2.1976311364048492e-15,2.0716385852408344e-13,1.256291455316431e-10
4,0.039999999999999994,9.16194130521901e-16,9.691362931723132e-14,6.998215389772372e-11
5,0.039999999999999994,3.4733715413150083e-16,4.909312965396731e-14,4.4788635189294126e-11
6,0.039999999999999994,1.3914951458134022e-16,2.5750850559517434e-14,3.117489317696002e-11
7,0.039999999999999994,7.400288576382719e-17,1.401703988732174e-14,2.3004110310377474e-11
8,0.039999999999999994,5.325950912427473e-17,8.104047522327102e-15,1.7718940631988193e-11
9,0.039999999999999994,4.437573628112379e-17,5.144204644286637e-15,1.4099124890487821e-11
0,0.06,0.0,0.0,0.0
1,0.06,0.0,0.0,0.0
2,0.06,7.428276103278551e-15,5.764966278121008e-13,2.932630035562584e-10
3,0.06,4.582474290144278e-15,2.2909113713152667e-13,1.2518431821048836e-10
4,0.06,2.4899701794870172e-15,1.1593842915822468e-13,6.936496333637335e-11
5,0.06,1.1997227006657639e-15,6.378811289065015e-14,4.4136379486002175e-11
6,0.06,5.268712309602709e-16,3.62403263881788e-14,3.0559655725629184e-11
7,0.06,2.283346758619636e-16,2.1013138326445694e-14,2.245193018323197e-11
