k,P_k_om_m
0.001,8547.53545929492
0.0010080465830751737,8608.324068990609
0.0010161579136495332,8669.4805379055
0.0010243345127192093,8731.005934089204
0.0010325769054725718,8792.901311453641
0.0010408856213239628,8855.16770947962
0.0010492611939476987,8917.806148519785
0.0010577041613123548,8980.817611423796
0.0010662150657153116,9044.20305787761
0.0010747944538175916,9107.963430968635
0.001083442876678971,9172.099656869303
0.0010921608897933733,9236.612644515713
0.0011009490531245514,9301.503285284212
0.001109807931142052,9366.772451815927
0.001118738092857473,9432.420973488632
0.0011277401118610121,9498.449631797632
0.0011368145663583063,9564.859186267975
0.001145962039207576,9631.650375612779
0.001155183117957055,9698.823917373886
0.0011644783948827348,9766.380507560087
0.0011738484670264036,9834.320820280074
0.001183293936233997,9902.645490992998
0.001192815409194253,9971.35507742577
0.001202413497477682,10040.450100952563
0.0012120888175758463,10109.931057256295
0.0012218419909409593,10179.79841592214
0.0012316736440258014,10250.052620029708
0.0012415844083239556,10320.69408574256
0.0012515749204103747,10391.723210877923
0.0012616458219822607,10463.140438482307
0.0012717977599002869,10534.946220981832
0.0012820313862301443,10607.140985699489
0.0012923473582844252,10679.725134256883
0.001302746338664842,10752.699042196695
0.0013132289953047872,10826.063058603324
0.001323796001512234,10899.81749970662
0.0013344480360129836,10973.962563043175
0.0013451857829942645,11048.498344777925
0.0013560099321486704,11123.42490661239
0.0013669211787184653,11198.74227715061
0.001377920223540238,11274.450451450479
0.0013890077730899163,11350.549390574099
0.0014001845395281462,11427.039021011464
0.0014114512407460333,11503.919232019094
0.0014228086004112533,11581.189875368982
0.001434257348014534,11658.85076683327
0.0014457982189165113,11736.901685796794
0.0014574319543949597,11815.342374799708
0.0014691593016924116,11894.172539079003
0.0014809810140641437,11973.391843939618
0.0014928978508265659,12052.999888092125
0.0015049105774059901,12132.996210865476
0.001517019965387795,12213.380310690218
0.001529226792565985,12294.151645019274
0.0015415318429931487,12375.30962985047
0.0015539359070308185,12456.853639248828
0.0015664397814002375,12538.783001219863
0.0015790442692335315,12621.096979200307
0.0015917501801252943,12703.794784687685
0.0016045583301845952,12786.875584447853
0.0016174695420873876,12870.338500039301
0.0016304846451293568,12954.18260732673
0.0016436044752791853,13038.406935901365
0.0016568298752322466,13123.010458643115
0.0016701616944647325,13207.99208209977
0.0016836007892882159,13293.350662341414
0.0016971480229046516,13379.085006506832
0.0017108042654618188,13465.193872313814
0.001724570394109219,13551.67596757079
0.0017384472930544038,13638.529946721195
0.001752435853619777,13725.754392163622
0.0017665369742998413,13813.347825181889
0.001780751560818911,13901.30871432266
0.0017950805261892856,13989.635474942013
0.0018095247907698943,14078.326468719246
0.0018240852823254105,14167.380002432967
0.0018387629360858435,14256.794313213812
0.0018535586948066087,14346.567568701284
0.0018684735088290785,14436.69787965584
0.001883508336141633,14527.183299996183
0.0018986641424411789,14618.021826321881
0.0019139419011951853,14709.211397163981
0.0019293425937042083,14800.749882624092
0.0019448672091649203,14892.635080878941
0.001960516744733647,14984.86472949423
0.0019762922055904155,15077.436505775167
0.001992194605003517,15170.348026306347
0.0020082249643945905,15263.596845790928
0.0020243843134042294,15357.18043715031
0.002040673689958113,15451.096188058715
0.0020570941403336824,15545.341421403082
0.00207364671922733,15639.91339601135
0.002090332489822154,15734.80930621179
0.002107152523856243,15830.026280176988
0.002124107901691514,15925.561366558408
0.0021411997123831077,16021.411538750815
0.0021584290537493365,16117.573703203387
0.0021757970324421992,16214.044699150341
0.0021933047640184593,16310.821298201092
0.0022109533730113083,16407.900197658575
0.002228743993002579,16505.27800419909
0.002246677766695569,16602.951250178743
0.00226475584598843,16700.91639797256
0.0022829793920481614,16799.16983959624
0.002301349575385187,16897.707895022744
0.0023198675759285394,16996.526791849257
0.00233853458310165,17095.622668441516
0.002357351795898744,17194.99158994691
0.0023763204229618534,17294.629548436198
0.0023954416826584453,17394.532462436484
0.0024147168031596906,17494.696163878652
0.0024341470225193325,17595.116386901504
0.002453733588753221,17695.788787966412
0.002473477759919468,17796.70894798911
0.002493380804199255,17897.87237204981
0.0025134439999782874,17999.274488024752
0.0025336686359289096,18100.910644321168
0.0025540560110928734,18202.77611208303
0.002574607434964779,18304.866085467333
0.002595324227576183,18407.175681391793
0.0026162077195803833,18509.69992208625
0.0026372592523378974,18612.433702520084
0.002658480178002605,18715.371829617634
0.0026798718596086056,18818.509030598463
0.0027014356711577664,18921.83995264374
0.0027231729977079747,19025.35914472476
0.002745085235462102,19129.061040092096
0.0027671737918576805,19232.93998648472
0.0027894400856573066,19336.99024992598
0.002811885547039765,19441.206016521523
0.0028345116176919007,19545.58142906907
0.0028573197509012037,19650.110585109174
0.002880311411649165,19754.787503098807
0.0029034880767053704,19859.606121036835
0.0029268512347223564,19964.56027443899
0.002950402386331225,20069.643611778036
0.0029741430442380297,20174.849666399325
0.002998074733320941,20280.17188779881
0.0030221989907281872,20385.60364395951
0.003046517365976788,20491.138278402606
0.003071031421052076,20596.769115345152
0.00309574273050804,20702.48940100366
0.0031206528815684383,20808.29230060986
0.003145763474228759,20914.1708465706
0.0031710761213589876,21020.11785092271
0.0031965924488072026,21126.12601854843
0.0032223140955040027,21232.18796972604
0.003248242713567779,21338.296253141845
0.0032743799684108294,21444.443399203603
0.0033007275388463285,21550.6218768879
0.0033272871171961724,21656.824073448424
0.0033540604093996434,21763.042270189486
0.0033810491351230288,21869.268492478794
0.0034082550278700403,21975.49460538398
0.003435679835093175,22081.712387858017
0.003463325318305951,22187.913557836786
0.0034911932531960523,22294.08992086476
0.0035192854297393804,22400.23327563892
