k (h/Mpc),T(k)
1.0449119917031979e-05,0.47164132294057315
2.37378460498099e-05,0.4716375637741811
3.70753615287683e-05,0.4716307604503691
5.049986294298904e-05,0.47162092173364734
6.40502100876996e-05,0.4716079502178451
7.776629465947613e-05,0.4715917465500742
9.168942133877346e-05,0.4715721496556359
0.00010586270663178277,0.4715489763769216
0.00012033150088213839,0.47152200180713366
0.00013514383889806148,0.4714909651691034
0.00015035092463241214,0.47145555251013527
0.00016600765524633017,0.47141540750455235
0.00018217318960478166,0.4713701112228188
0.0001989115656888373,0.4713191897707618
0.00021629237042175255,0.4712620928308112
0.00023439146380268758,0.47119820413353597
0.0002532917567724659,0.4711268147701363
0.00027308403857899464,0.4710471261975453
0.00029386784416698394,0.4709582386502911
0.0003157523448124647,0.4708591438098696
0.00033885723532582916,0.47074868958392146
0.0003633135781209912,0.47062563203790053
0.0003892645478532699,0.47048856690210583
0.00041686600000097866,0.47033594260103395
0.00044628676309815216,0.4701660708966682
0.00047770852866788597,0.4699770880106863
0.0005113251880711101,0.46976700119947257
0.0005473414462900157,0.4695336442371214
0.0005859705363085467,0.46927467339567974
0.0006274308737090698,0.4689875790745327
0.0006719415400471094,0.46866964923954946
0.0007197165748240158,0.4683179236700362
0.0007709581932230694,0.4679292402646069
0.000825849223107694,0.4675001762783636
0.0008845452475248149,0.4670271199416284
0.000947167109206091,0.46650639256795623
0.001013794532153674,0.46593447863644655
0.0010844615969883558,0.46530829415581043
0.001159154648463819,0.46462549800230224
0.001237812930176308,0.46388470203136345
0.00132033188770421,0.46308547469846195
0.0014065687368837343,0.46222823461428963
0.0014963496363132346,0.46131300452308155
0.001589477681551691,0.4603416594019839
0.0016857409598839271,0.4593160644615609
0.0017849200383689221,0.4582380896009969
0.0018867944531206545,0.457110068776332
0.001991147972796085,0.45593484294889053
0.0020977725860082583,0.45471551074888494
0.0022064712913533093,0.4534551637646558
0.002317059846764403,0.4521567628971437
0.002429367669323175,0.45082312623926346
0.0025432380793398877,0.44945705975394545
0.002658528065503444,0.4480614172337968
0.0027751077210849576,0.446638977919357
0.002892859471530978,0.4451923487662017
0.0030116771855837267,0.44372386374121287
0.0031314652375100714,0.44223569013998787
0.003252137567892055,0.44072988962049536
0.0033736167746698997,0.4392084921068594
0.0034958332542423033,0.43767331569133905
0.0036187244037619733,0.4361259732780663
0.003742233889649425,0.4345679522622445
0.003866310983185003,0.4330006356834639
0.003990909961325535,0.4314253581489345
0.004115989569226996,0.42984334261203483
0.0042415125400290625,0.42825570304397986
0.00436744516703973,0.4266633735682687
0.004493756923378441,0.4250672660879137
0.004620420124272374,0.42346826933595105
0.004747409627466819,0.42186705629095284
0.004874702567547746,0.42026436859016203
0.00500227812034267,0.41866101401434597
0.005130117293938833,0.4170575569484461
0.005258202743219024,0.41545441964150426
0.005386518605155364,0.41385216183628304
0.0055150503524150855,0.41225111948167964
0.0056437846631174175,0.41065173613326295
0.005772709304837255,0.40905438311450487
0.0059018130311801476,0.40745937749382505
0.006031085489456277,0.40586704708045007
0.0061605171381604144,0.4042776641210499
0.006290099173122728,0.4026914679763608
0.006419823461333954,0.4011087066059443
0.006549682481569895,0.39952960564379014
0.0066796692710466374,0.397954343564886
0.006809777377430851,0.3963830410796049
0.006940000815610926,0.3948159257503084
0.007070334028705805,0.3932531498454141
0.007200771852850549,0.3916948217498528
0.007331309485352085,0.3901410725753996
0.007461942455856156,0.3885919555551665
0.007592666600208177,0.3870475914719663
0.007723478036727243,0.38550810632218574
0.007854373144644516,0.38397356994582293
0.007985348544485387,0.3824439779209416
0.00811640108019945,0.3809195471439472
0.008247527802864132,0.37940021517085526
0.008378725955806856,0.37788601933913524
0.008509992961007557,0.3763770809815372
0.008641326406658217,0.3748734007671558
0.008772724035769215,0.3733750210864083
0.00890418373572395,0.3718819738859265
0.009035703528693461,0.3703942311932535
0.009167281562831904,0.36891184376443187
0.009298916104181834,0.3674348274193343
0.009430605529225491,0.3659632193178952
0.00956234831802457,0.3644969332270694
0.009694143047896826,0.3630360492936901
0.009825988387582784,0.36158055123902294
0.009957883091860492,0.3601303679322919
0.010089825996570224,0.3586856198261918
0.010221816014014723,0.3572461928218389
0.010353852128703803,0.35581205991498976
0.01048593339341503,0.3543833300731392
0.010618058925544871,0.3529598525593139
0.010750227903726976,0.3515416778686393
0.010882439564696453,0.3501287989597497
0.011014693200380829,0.34872123359793433
0.011146988155200167,0.34731889296995433
0.011279323823560328,0.34592177605296387
0.011411699647524762,0.3445299090843786
0.0115441151146515,0.3431432036340488
0.01167656975598316,0.34176176294065275
0.011809063144178799,0.34038543999179166
0.011941594891777414,0.33901424712459155
0.01207416464958373,0.33764819066219043
0.012206772105167685,0.33628729994713896
0.012339416981469772,0.3349314429363297
0.012472099035504974,0.33358066534357295
0.012604818057158657,0.33223493973728074
0.012737573868068343,0.33089427518603776
0.012870366320585715,0.3295586496799882
0.013003195296813673,0.32822801185932504
0.013136060707713717,0.3269023767689847
0.01326896249227922,0.3255816194564079
0.01340190061677057,0.3242658800827371
0.013534875074008456,0.3229549443616022
0.013667885882721791,0.32164888245275763
0.013800933086947187,0.3203476822301419
0.013934016755476942,0.3190513295494027
0.01406713698135289,0.31775977533621935
0.014200293881403588,0.31647298615374186
0.014333487595822503,0.3151909237222701
0.014466718287785084,0.3139135859588151
0.014599986143102713,0.3126408960658917
0.014733291369911715,0.31137299484529835
0.014866634198395746,0.3101096389748005
0.015000014880539954,0.3088509222313264
0.015133433689915526,0.3075968721830649
0.015266890921493219,0.30634729121623827
