k (h/Mpc),x,omega_b,omega_m,omega_nu,T(k),log10(T(k))
0.0010066790282003723,0.009215128139363727,0.0214,0.13,0.000642,0.9887446492685332,-0.004915853733900835
0.0012673338101217057,0.011601158987584497,0.0214,0.13,0.000642,0.984075418038397,-0.006971616626803478
0.0015954787387881394,0.014604993855734417,0.0214,0.13,0.000642,0.9776459779808849,-0.009818382066905466
0.002008588728237697,0.018386597904081734,0.0214,0.13,0.000642,0.9689295264087034,-0.013707809538340634
0.0025286633918217656,0.023147355337889874,0.0214,0.13,0.000642,0.95727568952704,-0.01896297006240361
0.003183398601838052,0.029140793850698926,0.0214,0.13,0.000642,0.9419368438608274,-0.025978215341141416
0.004007661395723946,0.03668608589850008,0.0214,0.13,0.000642,0.9220836104148966,-0.035229697280985156
0.005045346772943356,0.046185045796885406,0.0214,0.13,0.000642,0.8968198828083618,-0.04729477184680857
0.006351715263772087,0.05814352779857643,0.0214,0.13,0.000642,0.8652228208153977,-0.06287203428207389
0.007996335754043573,0.07319836467698845,0.0214,0.13,0.000642,0.826361181648275,-0.08283009201107763
0.010066790282003727,0.0921512813936373,0.0214,0.13,0.000642,0.7792733529290953,-0.10831017410563064
0.012673338101217064,0.11601158987584503,0.0214,0.13,0.000642,0.7230427269707336,-0.1408360380590831
0.015954787387862965,0.1460499385571755,0.0214,0.13,0.000642,0.6569214266979035,-0.18248657258968526
0.02008588716045542,0.1838659779247489,0.0214,0.13,0.000642,0.580807364877094,-0.23596788523977674
0.025286534432213938,0.23147264268517545,0.0214,0.13,0.000642,0.49643382505832595,-0.30413863503851957
0.03181941477677484,0.291274553530463,0.0214,0.13,0.000642,0.4093651574353622,-0.38788912449106655
0.03956649541302458,0.36219123975233497,0.0214,0.13,0.000642,0.33376787615778075,-0.47655546477710214
0.04620084499587586,0.4229219988271531,0.0214,0.13,0.000642,0.2898205692658469,-0.5378707948426079
0.050995001433621005,0.46680765121126494,0.0214,0.13,0.000642,0.2663015447882768,-0.5746263142554695
0.054931902405705266,0.5028459970131017,0.0214,0.13,0.000642,0.25058071541401983,-0.6010523551756446
0.05843920005878389,0.5349517590192773,0.0214,0.13,0.000642,0.23842632230856198,-0.6226458000966123
0.06170614111069176,0.5648572994882166,0.0214,0.13,0.000642,0.22808198409123823,-0.6419090177429297
0.06483231100354331,0.5934742224011214,0.0214,0.13,0.000642,0.21868134676462128,-0.6601882601388013
0.06787717431191534,0.6213468657834472,0.0214,0.13,0.000642,0.2097522575141054,-0.6782933562649702
0.07087966939881436,0.6488316709581878,0.0214,0.13,0.000642,0.20102942326707385,-0.6967403732892402
0.07386717087357321,0.6761792247814321,0.0214,0.13,0.000642,0.19237541709887565,-0.7158504255436033
0.07686006059357721,0.7035761025391077,0.0214,0.13,0.000642,0.1837532333757523,-0.7357650102035368
0.07987426047073556,0.7311680532280218,0.0214,0.13,0.000642,0.17519088224298274,-0.756488500306073
0.08292272989287283,0.7590737069338974,0.0214,0.13,0.000642,0.16675706085071207,-0.7779157680646066
0.08601639814832454,0.787393110235299,0.0214,0.13,0.000642,0.15856793783265893,-0.7997846217473334
0.08916477008730458,0.8162132704207592,0.0214,0.13,0.000642,0.15074451020970547,-0.8217584949692017
0.0923763334598229,0.8456118842553496,0.0214,0.13,0.000642,0.1434118689887734,-0.8434149042956851
0.09565884086523178,0.8756599189435544,0.0214,0.13,0.000642,0.13667367776584127,-0.8643151189493126
0.09901950958530263,0.9064234413989365,0.0214,0.13,0.000642,0.1306093266589829,-0.8840258094935168
0.10246516595858216,0.9379649398453173,0.0214,0.13,0.000642,0.12523999369571603,-0.9022569629164751
0.10600235126930041,0.9703442931226122,0.0214,0.13,0.000642,0.12054174367843498,-0.9188625306012629
0.10963740028341014,1.0036194896048236,0.0214,0.13,0.000642,0.11642353598571081,-0.9339592145704498
0.11337649993856087,1.0378471644473817,0.0214,0.13,0.000642,0.11274812352090358,-0.9478906773994347
0.1172257333891422,1.07308300277496,0.0214,0.13,0.000642,0.10933743298486553,-0.9612311266544015
0.12119111311269215,1.1093820427371537,0.0214,0.13,0.000642,0.10599337247449918,-0.9747212893365366
0.1252786058007182,1.1467989033587649,0.0214,0.13,0.000642,0.10254283617496113,-0.989094674821295
0.129494151104257,1.18538795613644,0.0214,0.13,0.000642,0.09884239493490003,-1.0050567402589232
0.13384367586966128,1.2252034553528979,0.0214,0.13,0.000642,0.09483772621892546,-1.0230188669925782
0.138333105211158,1.2662996394349975,0.0214,0.13,0.000642,0.09055087305630079,-1.0431073580312487
0.1429683715764004,1.3087308139396971,0.0214,0.13,0.000642,0.08609929164068438,-1.065000421575468
0.1477554228377002,1.3525514256211,0.0214,0.13,0.000642,0.08166540114866588,-1.0879619002948393
0.15270023036289732,1.397816136311101,0.0214,0.13,0.000642,0.07745753643923517,-1.110936319999823
0.1578087979705047,1.4445799048946806,0.0214,0.13,0.000642,0.07366193294798337,-1.1327568890973327
0.1630871726430319,1.4928980853795417,0.0214,0.13,0.000642,0.07038577841894153,-1.1525150820241903
0.16854145785284658,1.5428265488808934,0.0214,0.13,0.000642,0.06762532882194099,-1.1698906101632698
0.1741778303419522,1.5944218372233407,0.0214,0.13,0.000642,0.06526062632448865,-1.1853487624824985
0.18000256118841854,1.647741355782744,0.0214,0.13,0.000642,0.06309653508335554,-1.1999944891789358
0.18602204198791863,1.7028436131517055,0.0214,0.13,0.000642,0.06089946010672308,-1.2153865575101512
0.19224281698106754,1.759788515232855,0.0214,0.13,0.000642,0.058486233634266034,-1.2329463452039853
0.198671621970304,1.8186377214835319,0.0214,0.13,0.000642,0.055807405535810393,-1.253308167192567
0.20531543090029913,1.8794550713123077,0.0214,0.13,0.000642,0.05296951408387277,-1.2759740110489344
0.21218151103182986,1.9423070891399814,0.0214,0.13,0.000642,0.05016840985895949,-1.2995696641790198
0.2192774877314568,2.0072635774835392,0.0214,0.13,0.000642,0.04760079751962952,-1.322385770904028
0.22661142004135465,2.0743983087215048,0.0214,0.13,0.000642,0.04539225618822868,-1.343018230437453
0.2341918884012424,2.1437898280994707,0.0214,0.13,0.000642,0.04353401948451762,-1.3611712326965788
0.2420280961871049,2.2155223832143762,0.0214,0.13,0.000642,0.0418796645347683,-1.3779968057726246
0.250129987133572,2.2896869988976034,0.0214,0.13,0.000642,0.040229164737353926,-1.3954589844241132
0.2585083812493393,2.366382721383161,0.0214,0.13,0.000642,0.03844738300949756,-1.4151332158941237
