Complexity,Loss,Equation
1,41.1841,"4.578082"
3,2.6043725,"(x0 * x0)"
5,2.599761,"((x0 * x0) + 0.06790336)"
6,0.9790748,"((x0 * x0) + cos(x3))"
8,0.22240889,"((x0 * x0) + (cos(x3) * 2.291576))"
10,4.4384044e-13,"((x0 * x0) + ((cos(x3) * 2.5382) + -0.5))"
