Complexity,Loss,Equation
1,0.18460098,"0.9446673"
3,0.1678843,"(24.50299 / ell)"
4,0.14016461,"(3.2592483 / log(ell))"
5,0.124557756,"((14.00373 / ell) - -0.46330008)"
6,0.12303327,"exp(ell * (0.7893165 ^ ell))"
7,0.102244414,"exp((0.9982679 ^ exp(ell)) * ell)"
8,0.019378418,"exp((0.5897046 ^ ell) * (ell ^ 2.4691024))"
9,0.015091573,"exp((ell ^ 3.3433576) / exp(ell ^ 0.8634743))"
10,0.0063579283,"(exp((0.5884617 ^ ell) * (ell ^ 2.5087893)) * 0.88387656)"
11,0.0039257673,"(exp((ell ^ 3.3145485) / exp(ell ^ 0.8572768)) - 0.11196352)"
12,0.003757179,"(exp(((0.59409076 ^ ell) * (ell ^ 2.5441363)) - 0.4990907) - -0.2852566)"
13,0.003639093,"(exp(((0.5970261 ^ ell) * (ell ^ 2.5369585)) - exp(-0.5703473)) + 0.32851633)"
14,0.003635193,"(exp(((0.5970261 ^ ell) * (ell ^ 2.5369585)) - (0.5957843 ^ 1.0920514)) + 0.32851633)"
15,0.0020797877,"(exp(((0.5970261 ^ ell) * (ell ^ 2.5369585)) - 0.60628396) - (-1.1853418 / log(ell)))"
16,0.002070804,"((exp(((0.5970261 ^ ell) * (ell ^ 2.5369585)) - 0.60628396) + 0.25736558) + (2.5369585 / ell))"
17,0.0019124636,"(exp(((0.5970261 ^ ell) * ((ell ^ 2.5369585) - 0.27160946)) - 0.5970261) - (-1.1709224 / log(ell)))"
19,0.001879622,"(exp(((0.5970261 ^ ell) * ((ell ^ 2.5369585) - 0.35577938)) - 0.5970261) - (-1.1709224 / log(ell + -0.18783785)))"
