Complexity,Loss,Equation
1,0.16137303,"0.34545836"
3,0.0008708661,"(0.044153705 ^ x0)"
5,0.000532334,"((0.030521773 ^ x0) + 0.024142427)"
7,0.00027267978,"((0.061386343 * (x0 + 0.26980293)) ^ x0)"
9,7.2692135e-5,"(1.0534852 / (((x0 ^ 1.3643427) / 0.08728439) - -1.0500065))"
11,3.3519285e-5,"(1.0534852 / ((((x0 * 0.9460236) ^ 1.3643427) / 0.08728439) - -1.0500065))"
15,3.3209893e-5,"(1.0534852 / (((((x0 ^ 1.3643427) / (0.08728439 * 1.064431)) - -1.0500065) - x0) + x0))"
17,3.175824e-5,"(((0.9016029 ^ 0.56779677) ^ -0.8415707) / ((((x0 ^ 1.3643427) * (0.8741324 + 0.04871144)) / 0.08728439) - -1.0500065))"
25,3.0913117e-5,"(1.2668624 / (((((((x0 ^ 1.3709202) / x0) / (0.07746832 / x0)) + 0.42144364) - -1.0481564) + x0) - ((x0 + x0) + (0.20295277 - x0))))"
