Complexity,Loss,Equation
1,1241.545,"25.50111"
3,3.566707,"(x0 * x0)"
5,3.3884306,"((x0 * x0) * 1.0098119)"
6,1.6524738,"((x0 * x0) + cos(x0))"
8,0.5563223,"((x0 * x0) + (cos(x0) * 2.5215855))"
9,0.5563222,"((x0 * x0) + (cos(x0) * exp(0.9248758)))"
10,0.3195403,"((x0 * x0) + ((cos(x0) * 2.5971007) + 0.49634355))"
12,0.31648216,"((x0 * x0) + ((cos(x0 + 0.009123449) * 2.5971007) + 0.49634355))"
13,0.31647632,"((x0 * x0) + ((cos(x0 + 0.009123449) * 2.5971007) + sin(0.49634355)))"
14,0.31401265,"((x0 * x0) + ((cos((x0 + 0.009123449) + 0.009123449) * 2.5971007) + 0.49634355))"
16,0.31401262,"((x0 * x0) + ((cos((x0 + 0.009123449) + 0.009123449) * 2.5971007) + log(exp(0.49634355))))"
