Complexity,Loss,Equation
1,0.8095571,"0.0058601038"
3,0.32053018,"(0.13038455 ^ x)"
5,0.2488913,"((0.3161195 ^ x) * 0.48968545)"
7,0.09273494,"(0.15461467 / ((x * x) - -0.24143308))"
9,0.066410094,"(0.15461467 / ((1.7119141 ^ x) + (-0.82900333 + x)))"
13,0.018938914,"((0.5438066 / (((1.6124177 - -1.6169361) + x) - (-0.51680315 / x))) / x)"
15,0.012791153,"((0.5438066 / (((x + x) - -0.51680315) - ((-0.51680315 / x) + -1.5214802))) / x)"
17,0.010238344,"((0.5438066 / ((1.6124177 - (-0.40570673 - (0.5438066 + (x + x)))) - (-0.51680315 / x))) / x)"
