Complexity,Loss,Equation
1,0.58468497,"1.6871859"
3,0.38529518,"(tau * 73.518745)"
5,0.1433002,"((2555.4075 * tau) * tau)"
7,0.023580668,"((60824.105 * tau) * (tau * tau))"
9,0.0145325605,"(((-176.46172 * tau) / (tau - 0.115963146)) * tau)"
11,0.00034464072,"(((94759.91 * tau) * ((tau + -0.026146615) * tau)) - -1.257635)"
13,0.00034040277,"((((94759.91 * tau) * ((tau + -0.026282767) * tau)) + tau) - -1.24088)"
15,0.00028132126,"(((102214.01 * tau) * ((tau + -0.030847218) * tau)) - ((0.016393358 / tau) - 2.2446392))"
17,0.00027305633,"((((101620.68 * tau) * ((tau + -0.030457485) * tau)) + (2.216214 - (0.01575939 / tau))) - tau)"
19,0.00027305292,"(((((101620.68 * tau) - -1.0309218) * ((tau + -0.030457485) * tau)) + (2.216214 - (0.01575939 / tau))) - tau)"
