Complexity,Loss,Equation
1,0.13605374,"1.1317862"
3,0.1352797,"(1.0601948 + tau)"
4,0.11735758,"exp(0.916069 ^ ell)"
5,0.117357574,"exp(cos(0.41256714) ^ ell)"
6,0.10707781,"exp((tau / ell) * 39.99226)"
7,0.097950004,"(0.83392745 - ((tau * -109.69688) / ell))"
8,0.09794962,"(0.8341058 - (sin(tau / ell) * -109.63287))"
9,0.044217233,"exp(tau * exp(sin(log(ell)) * 3.5910103))"
11,0.039766155,"exp(tau * exp((sin(log(ell)) / 0.28633726) + tau))"
12,0.03667804,"(exp(tau * exp(exp(sin(log(ell)) + 0.29822236))) / 1.1737146)"
13,0.034689873,"exp(tau * (exp(sin(log(ell)) / 0.29061994) * (ell ^ tau)))"
15,0.028143313,"exp(((tau / -0.017758377) + 1.2147963) / (exp(ell * 0.29990405) / (1.4914038 - ell)))"
16,0.028099392,"exp(((sin(tau) / -0.017758377) + 1.2147963) / (exp(ell * 0.29990405) / (1.4890287 - ell)))"
17,0.024606729,"exp(((tau / -0.017758377) + (ell * 0.16158102)) / (exp(ell * 0.28773463) / (1.7992109 - ell)))"
18,0.024550315,"exp(((tau / -0.017758377) + (ell * 0.16158102)) / (exp(ell * sin(0.28773463)) / (1.7992109 - ell)))"
19,0.019809602,"exp(((tau / -0.017758377) + (ell * 0.16921662)) / ((exp(ell * 0.28142452) + 1.1317862) / (1.1703162 - ell)))"
20,0.019348077,"exp(((tau / -0.017758377) + (ell * 0.16921662)) / ((exp(ell * 0.28112826) + 1.2071855) / (exp(tau) - ell)))"
