Complexity,Loss,Equation
1,1.0,"0.0"
2,0.7610824,"exp(-43.07218)"
4,0.69106627,"(exp(-35.038036) / ell)"
6,0.6900463,"(exp(-35.038036) / (ell - -2.652988))"
8,0.25872573,"(exp(-42.4564) / (0.00954849 ^ cos(log(ell))))"
9,0.25872353,"(exp(-42.4564) / (tanh(0.00954849) ^ cos(log(ell))))"
10,0.25208583,"(exp(-42.4564) / (0.00954849 ^ cos(log(ell) + tau)))"
11,0.23982063,"(exp(-43.07218) / ((tau * 0.04862737) ^ tanh(cos(log(ell)))))"
12,0.23147796,"(exp(-43.07218) / ((tau * tau) ^ tanh(tanh(cos(log(ell))))))"
13,0.22328983,"(exp(-43.07218) / ((tau * 0.04862737) ^ tanh(cos(log(ell) - tau))))"
14,0.21632512,"(exp(-43.07218) / ((tau * tau) ^ tanh(tanh(cos(log(ell)) + tau))))"
15,0.19914664,"((exp(0.37706745) / ((0.0599438 * tau) ^ sin(tanh(cos(log(ell)))))) * exp(-43.07218))"
16,0.19903252,"((exp(sinh(0.37706745)) / ((0.0599438 * tau) ^ sin(tanh(cos(log(ell)))))) * exp(-43.07218))"
18,0.19873823,"((exp(0.37706745) / ((0.0599438 * (tau * 1.3993601)) ^ sinh(sin(tanh(cos(log(ell))))))) * exp(-43.07218))"
