Complexity,Loss,Equation
1,0.16198112,"0.34135765"
3,0.00081301044,"(0.06509589 ^ x0)"
5,0.00048872834,"((0.04709107 ^ x0) - -0.023640241)"
7,0.00034176168,"(((0.04617743 ^ x0) * 0.9706606) - -0.03348493)"
9,1.058484e-5,"(-1.4758716 / (-1.4760323 - ((x0 ^ 1.37835) / 0.07883887)))"
11,1.0239549e-5,"((-1.4761745 / (-1.4756272 - ((x0 ^ 1.3758398) / 0.07944642))) + -0.0008103411)"
13,1.0175097e-5,"((-1.4761745 / (-1.4758716 - (((x0 ^ 1.3758398) / 0.07944642) - 0.0011431597))) + -0.0010411678)"
15,9.986229e-6,"((-1.4758945 / (-1.4756272 - ((x0 ^ 1.3735743) / 0.07944642))) - (0.00071903405 * (x0 ^ 0.49693897)))"
17,8.763786e-6,"((-1.4758716 / (-1.4758716 - ((x0 ^ 1.3735743) / 0.07944642))) + ((-0.0008103411 * x0) / (x0 + -0.25143117)))"
19,8.682091e-6,"((-1.4758716 / (-1.4758716 - ((x0 ^ 1.3735743) / 0.07944642))) + ((-0.0008103411 * (x0 ^ 1.1994363)) / (x0 + -0.25143117)))"
21,8.58591e-6,"((-1.4758716 / (-1.4758716 - ((x0 ^ 1.3735743) / (0.07944642 * 1.0028775)))) + ((-0.0008103411 * (x0 ^ 1.1994363)) / (x0 + -0.25143117)))"
25,8.434064e-6,"(-1.4758945 / (-1.4760323 - (((x0 ^ 1.3758398) / 0.07883887) - ((-0.21487263 * x0) * ((((0.08571026 / (x0 + -0.25059366)) + -1.240559) + x0) * x0)))))"
