Complexity,Loss,Equation
1,0.58468497,"1.6875904"
3,0.38529518,"(73.52274 * tau)"
5,0.1433002,"((2555.3486 * tau) * tau)"
7,0.02358067,"((60824.484 * (tau * tau)) * tau)"
9,0.017036375,"((tau * ((tau * tau) * 57224.977)) + 0.26135737)"
11,0.00034443726,"(((94744.17 * ((tau - 0.026133627) * tau)) * tau) + 1.2568198)"
13,0.00029755608,"(((101178.305 * (((tau - 0.033302598) * tau) + 0.0003614839)) * tau) + 0.809704)"
17,0.00025721063,"(((((98798.37 * (((tau - 0.028992869) * tau) * tau)) + 1.8720663) * tau) + -0.010489289) / tau)"
19,0.0002561638,"((((((98798.37 * (((tau - 0.02890597) * tau) * tau)) + 1.9071753) * tau) - 0.010867731) / tau) - tau)"
