Complexity,Loss,Equation
1,0.16220373,"0.3401152"
3,0.0008168987,"(0.06130108 ^ x)"
5,0.0004884977,"((0.043890994 ^ x) + 0.023689205)"
7,0.00034699877,"(((0.043204337 ^ x) + 0.03417952) * 0.97133654)"
9,1.1484144e-5,"(-0.64186954 / (-0.64186954 - ((x / 0.28119132) ^ 1.3689266)))"
13,1.1094005e-5,"(-0.64186954 / ((-0.64186954 + (x * 0.0097490605)) - ((x / 0.28119132) ^ 1.3689266)))"
15,1.0714979e-5,"(-0.64186954 / (-0.64186954 - (((x / 0.28119132) ^ 1.3689266) + ((x * 0.9683998) - x))))"
19,1.0481725e-5,"(-0.6284141 / ((-0.6284141 - ((((x / 0.29104498) ^ 1.3588603) / ((0.66827244 + 0.29104498) ^ x)) + x)) + x))"
