Complexity,Loss,Equation
1,0.23777515,"1.1955513"
3,0.19099928,"(34.51824 / ell)"
4,0.18551402,"log(111.03456 / ell)"
5,0.16037388,"(40.3523 / (ell - -2.1767612))"
6,0.12683572,"exp((0.83746004 ^ ell) * ell)"
7,0.1268357,"exp(ell / exp(ell / 5.6377106))"
8,0.016687036,"exp((0.67281854 ^ ell) * (ell ^ 2.1585093))"
10,0.011299801,"(exp((0.6723489 ^ ell) * (ell ^ 2.1585093)) - -0.101460226)"
12,0.008816573,"(exp((0.67281854 ^ ell) * ((ell ^ 2.1624026) + -0.5665184)) + 0.10300621)"
14,0.0072332886,"(exp((0.67281854 ^ ell) * ((ell ^ 2.1629894) + -0.926498)) - (-3.3570402 / ell))"
16,0.005781178,"(exp(((0.6723489 ^ ell) * ((ell * ell) - ell)) / 0.6178062) + (3.983028 / ell))"
17,0.0057476186,"(exp(((0.6723489 ^ ell) * ((ell * ell) - ell)) / 0.6178062) + (exp(1.3285489) / ell))"
18,0.005032961,"(exp(((0.6723489 ^ ell) * ((ell + -1.0578455) * ell)) / 0.6131053) + (3.0425646 / (ell + -1.0698026)))"
20,0.004385096,"(exp(((0.6691176 ^ ell) * (((ell + -0.9586377) * ell) + -0.56539124)) / 0.5940608) - (-3.0588942 / (ell - 1.2866609)))"
