Complexity,Loss,Equation
1,0.8095569,"0.005859494"
3,0.32053018,"(0.13038489 ^ x)"
5,0.1238828,"(0.06742774 / (x + 0.060557876))"
7,0.0025654032,"(0.1179437 / ((x ^ 1.5123614) + 0.118602805))"
9,0.00060450233,"(0.23783456 / (0.231856 + (x + (x ^ 1.7666663))))"
11,0.0005431003,"(0.18693657 / (0.18693657 + (((x ^ 0.67368746) - -0.58316135) * x)))"
13,0.0005032036,"(0.18693657 / ((0.18693657 + ((x ^ 0.67368746) * x)) + (x * 0.5680268)))"
15,0.00047057815,"(0.18693657 / ((0.18693657 + (((x ^ 0.67368746) * x) ^ 0.9949053)) + (x * 0.5680268)))"
17,0.00042594172,"(0.18693657 / ((0.18693657 + (((x * (1.0082681 ^ x)) ^ 0.65271467) * x)) + (x * 0.5680268)))"
19,0.00038407685,"(0.18693657 / (((0.18693657 * 0.98893005) + (((x * (1.0082681 ^ x)) ^ 0.65271467) * x)) + (x * 0.5680268)))"
