Complexity,Loss,Equation
1,0.16137303,"0.34548137"
3,0.00088891335,"(0.07115242 ^ x)"
5,0.00025746805,"((0.99715614 + x) ^ -3.3177745)"
7,6.2216204e-5,"(-0.11505054 / (-0.11505054 - (x ^ 1.4088705)))"
9,4.500607e-5,"(1.0024586 / (1.0024586 + ((x / 0.21764436) ^ 1.3768171)))"
11,4.481635e-5,"(0.9320754 / (0.9318956 + ((0.93211 / (0.21304055 / x)) ^ 1.3722186)))"
13,4.4627857e-5,"((0.93400466 / (0.9334111 + ((0.9310071 / (0.21304055 / x)) ^ 1.3714054))) + -0.00080180395)"
15,4.4406104e-5,"((0.93400466 / (0.93400466 + ((0.93400466 / (0.2134301 / x)) ^ 1.3714054))) - (0.00026860816 * x))"
17,4.4390872e-5,"((0.93400466 / (0.93400466 + ((0.93400466 / (0.2134301 / x)) ^ 1.3714054))) - (0.00026860816 * (x ^ 0.93400466)))"
19,4.1105654e-5,"((0.93400466 / (0.93400466 + ((0.9310071 / (0.2134301 / x)) ^ 1.3709706))) - ((0.00091041136 / (x - 0.2516903)) * x))"
21,4.1077485e-5,"((0.93400466 / (0.93400466 + ((0.9310071 / (0.2134301 / x)) ^ 1.3709706))) - ((0.00091041136 / (x - 0.2516903)) * (x * 1.0920126)))"
23,4.1066334e-5,"((0.93400466 / (0.93400466 + ((0.9310071 / (0.2134301 / x)) ^ 1.3709706))) - (((0.00091041136 / (x - 0.2516903)) * x) / (0.9408891 ^ x)))"
25,4.1057297e-5,"((0.93400466 / (0.93400466 + ((0.9310071 / (0.2134301 / x)) ^ 1.3709706))) - (((0.00091041136 * x) / ((x - 0.2516903) / (x ^ -1.0698769))) * x))"
