Complexity,Loss,Equation
1,0.8076275,"0.0063979947"
3,0.3130098,"(0.09676236 ^ x0)"
5,0.12025643,"(0.06113293 / (x0 + 0.05509528))"
6,0.12025406,"(0.061110698 / (log10(1.1347696) + x0))"
7,0.0041182134,"(0.09839128 / ((x0 ^ 1.4950628) + 0.09839128))"
9,0.00393387,"((0.09839128 / ((x0 ^ 1.4950628) + 0.09839128)) / 1.0174077)"
11,0.0030544563,"(0.09839128 / ((x0 ^ 1.5012511) + (0.09839128 / (x0 ^ x0))))"
12,0.002331786,"(0.37684602 / ((x0 * (x0 - log10(0.001783706 / x0))) + 0.37684602))"
14,0.00214427,"(0.37684602 / ((x0 * (x0 - (log10(0.002540739 / x0) / 0.92897093))) + 0.37684602))"
16,0.0020997648,"(0.37684602 / ((x0 * ((2.2441397 * 1.2576963) + (x0 + log10(x0 ^ 1.1770213)))) + 0.37684602))"
18,0.0020980607,"(0.37684602 / ((x0 * ((2.2441397 * 1.2576963) + (x0 + log10((x0 ^ 1.1770213) * 0.99355596)))) + 0.37684602))"
