Complexity,Loss,Equation
1,0.13605376,"1.0742806"
2,0.13527259,"exp(tau)"
3,0.13527216,"exp(tanh(tau))"
4,0.11745755,"exp(0.89793813 ^ ell)"
5,0.117457494,"exp(sin(1.1152658) ^ ell)"
6,0.10781846,"exp((37.50773 / ell) * tau)"
7,0.10780929,"exp((37.50773 / ell) * tanh(tau))"
8,0.106970206,"(exp((37.50773 / ell) * tau) - 0.020495769)"
9,0.08631635,"exp((tau / (cosh(0.4976492) ^ ell)) / 0.03704533)"
10,0.08621614,"exp(tanh(tau / (cosh(0.4976492) ^ ell)) / 0.03704533)"
11,0.08470192,"(exp((tau / (cosh(-0.4621857) ^ ell)) / 0.03704533) + -0.043013394)"
12,0.028045392,"cosh(((ell / cosh(log(0.7872106 ^ ell))) * tau) / 0.0720785)"
13,0.027401233,"cosh(tan((ell / cosh(log(0.7872106 ^ ell))) * tau) / 0.0720785)"
14,0.026919274,"cosh(tan((ell / cosh(log(sin(0.7872106 ^ ell)))) * tau) / 0.0720785)"
15,0.025312753,"cosh(((ell / cosh(log((cos(0.6794758) ^ ell) / 0.7872106))) * tau) / 0.07863445)"
16,0.024729026,"cosh(((ell / cosh(log(sin((cos(-0.6816329) ^ ell) / 0.7872106)))) * tau) / -0.07771534)"
17,0.021547915,"cosh((((ell / cosh(log((cos(0.6794758) ^ ell) / 0.70102674))) * tau) / 0.07863445) - 0.27853584)"
18,0.021471864,"cosh((((ell / cosh(log((cos(0.6794758) ^ ell) / 0.70102674))) * tanh(tau)) / 0.07863445) - 0.27853584)"
19,0.021423534,"cosh((((ell / cosh(log((cos(0.6794758) ^ ell) / 0.70102674))) * tanh(tau)) / 0.07863445) - tanh(0.27853584))"
20,0.020667396,"cosh((((ell ^ cos(0.6794758)) / cosh((log(cos(-0.6846194) ^ ell) + tau) + 0.6794758)) * tau) / 0.0753558)"
