Complexity,Loss,Equation
1,0.8095569,"0.005860134"
3,0.32045197,"(0.088336006 ^ x0)"
5,0.07365209,"((x0 - -1.1132284) ^ -2.9852462)"
7,0.001974334,"(0.0903492 / ((x0 ^ 1.4800919) + 0.092384756))"
9,0.0009612483,"(0.18660372 / (x0 + ((x0 ^ 1.7990105) - -0.181323)))"
11,0.0007611972,"(0.18660372 / ((x0 ^ 1.0440601) + ((x0 ^ 1.7990105) - -0.181323)))"
13,0.00054031366,"(0.19664572 / (((x0 ^ 1.7450155) / 0.8928921) + ((x0 ^ 1.0804489) + 0.1950921)))"
15,0.00054002303,"(0.19664572 / ((((x0 ^ 1.7450155) / 0.8928921) + ((x0 ^ 1.0804489) + 0.1950921)) * 0.99823684))"
17,0.0005375414,"(0.19664572 / (((x0 ^ 1.7450155) / 0.8954475) + (((x0 ^ 1.0943971) ^ 0.98790735) + (0.19664572 * 0.98790735))))"
19,0.00053195376,"(0.19664572 / (((x0 ^ 1.7450155) / 0.8954475) + ((((x0 / 0.9951647) ^ 1.0943971) ^ 0.98790735) + (0.19664572 * 0.98790735))))"
