Complexity,Loss,Equation
1,0.16137302,"0.34543195"
3,0.00087086606,"(0.04414826 ^ x0)"
5,0.0005322958,"((0.030342605 ^ x0) - -0.024270762)"
7,0.00017731114,"(((0.99315125 + x0) + x0) ^ -2.22406)"
9,5.0846393e-5,"(1.1436695 / (1.139342 + ((x0 ^ 1.3227524) / 0.09175043)))"
11,3.1477844e-5,"(1.1436695 / (1.1436695 + ((x0 ^ 0.3756211) / (0.08461015 / x0))))"
13,3.113798e-5,"(1.1436695 / (1.1436695 + (((x0 ^ 0.3756211) / (0.08461015 / x0)) / 1.0030397)))"
15,3.0872627e-5,"(1.0923612 / (1.0923612 + ((((x0 * (1.0535703 ^ x0)) ^ 0.3620379) / 0.09175043) * x0)))"
17,3.087179e-5,"(1.0923612 / (1.0923612 + ((((x0 ^ 0.3620379) / 0.09175043) + ((x0 * 0.25728813) * x0)) * x0)))"
19,3.07957e-5,"(1.0923612 / (1.0923612 + ((((x0 ^ 0.3620379) / 0.09175043) + (((-0.2594957 * x0) / -1.2557501) * x0)) * x0)))"
21,3.0285119e-5,"(((0.9915775 ^ -0.1053518) ^ x0) / ((((0.9915775 + -0.4920673) ^ x0) ^ x0) + (((x0 / 0.2702055) * 1.4977927) ^ 1.3859404)))"
23,3.0258501e-5,"((((0.9915775 + x0) ^ 0.27114168) ^ 0.031793885) / ((((0.9915775 + -0.4920673) ^ x0) ^ x0) + (((x0 / 0.2702055) * 1.4977927) ^ 1.3859404)))"
