Complexity,Loss,Equation
1,24.905958,"22.847485"
4,6.4962573,"log(x0 ^ 3.4814858)"
6,5.557404,"(log(x0 ^ 4.451175) - 6.546977)"
7,2.8353095,"(x0 / ((x0 * 0.037550285) - -2.7555566))"
8,1.5865561,"sinh(x0 / ((x0 * 0.2511842) + 5.556373))"
9,1.5759548,"sinh(x0 / ((x0 * 0.25087598) + sinh(2.432785)))"
10,1.32113,"sinh((x0 / ((x0 * 0.17634611) + 2.640101)) - 1.6888701)"
12,0.8733666,"exp(((x0 - sinh(cosh(2.0299697))) / (x0 * 0.2170197)) / 1.4019309)"
13,0.87267643,"exp(((x0 - exp(exp(cosh(0.5378985)))) / (x0 * 0.2170197)) / 1.4019309)"
14,0.11410439,"exp(((x0 - (exp(exp(2.0299697)) / x0)) / (x0 * 0.2170197)) - 1.4019309)"
16,0.048076477,"sinh(x0 / ((x0 * sinh(sinh(0.25087598))) + (exp(sinh(2.432785) - -0.9410861) / x0)))"
17,0.014540745,"sinh(x0 / (((x0 * sinh(0.25087598)) + (exp(sinh(2.432785) - -0.9410861) / x0)) * 1.009132))"
18,0.010595406,"((cosh(x0 / ((x0 * 0.25087598) + (exp(sinh(2.432785) - -0.81999046) / x0))) / 1.0526848) - 0.6556784)"
19,0.0056409077,"((cosh(x0 / ((x0 * 0.25087598) + (exp(cosh(2.432785) - erf(-0.81999046)) / x0))) / 1.0526848) - 0.6556784)"
