Complexity,Loss,Equation
1,352.60992,"8.418577"
3,259.45142,"(34.41797 - ell)"
5,192.12416,"(58.11258 / (1.1134762 ^ ell))"
6,173.36082,"(150.44212 / exp(1.069644 ^ ell))"
7,17.569704,"((0.33620608 ^ ell) * (ell ^ 6.0187836))"
8,8.302829,"exp(((0.70226085 ^ ell) * ell) * ell)"
9,2.9639902,"(((0.1668421 ^ ell) * (ell ^ 10.371127)) / 31.76586)"
10,1.1974369,"exp(((0.5498618 ^ ell) * (ell ^ 3.4778905)) / 3.158533)"
11,0.67727613,"exp(((0.5672177 ^ ell) * (ell ^ 3.2980049)) / exp(1.0167017))"
12,0.39318353,"exp(((0.5880872 ^ ell) * ((ell ^ 3.0908666) * 0.7600378)) * 0.5531635)"
13,0.1294821,"exp(((0.5542735 ^ ell) * ((ell ^ 3.5415394) + 10.131482)) / exp(1.3326787))"
15,0.12632953,"exp((((0.5542735 ^ ell) * ((ell ^ 3.5415394) + 10.131482)) / exp(1.3326787)) - 0.010076292)"
17,0.10497281,"exp((((0.5542735 ^ ell) * ((ell ^ 3.5415394) + (10.131482 + 0.5542735))) / exp(1.3326787)) - 0.010076292)"
18,0.1013565,"exp(((0.5542735 ^ ell) * ((ell ^ 3.5415394) + (exp(2.2256012) - -1.8650764))) / (exp(1.3326787) + 0.015049797))"
20,0.10061646,"(exp(((0.5542735 ^ ell) * ((ell ^ 3.5415394) + (exp(2.2256012) - -1.8650764))) / (exp(1.3326787) + 0.015049797)) + 0.027231604)"
21,0.1005116,"(exp(((0.5542735 ^ ell) * ((ell ^ 3.5415394) + (exp(2.2256012) - log(0.15909511)))) / (exp(1.3326787) + 0.015049797)) + 0.030418567)"
22,0.0831459,"exp(((0.5542735 ^ ell) * ((ell ^ 3.5415394) + ((exp(2.2256012) - -1.8650764) - (-0.84367377 ^ ell)))) / (exp(1.3326787) + 0.015049797))"
24,0.08293577,"exp((((0.5542735 ^ ell) * ((ell ^ 3.5415394) + ((exp(2.2256012) - -1.8650764) - (-0.84367377 ^ ell)))) - -0.012266128) / (exp(1.3326787) + 0.015049797))"
