Complexity,Loss,Equation
1,0.13605376,"1.0742806"
2,0.13527259,"exp(tau)"
3,0.13527216,"exp(tanh(tau))"
4,0.1174575,"exp(0.89800197 ^ ell)"
5,0.117457494,"exp(sin(1.1152647) ^ ell)"
6,0.10781846,"exp(37.506603 / (ell / tau))"
7,0.106236406,"exp(tau / tan(0.026987365 * ell))"
8,0.10585268,"exp(tau / tan(sinh(0.026987365 * ell)))"
9,0.08500285,"cosh(exp((-0.27129152 + tau) * ell) * ell)"
10,0.047655284,"cosh((exp(tan(sin(log(ell)))) / -0.11675629) * tau)"
11,0.047632325,"cosh(tanh(tau) * (exp(tan(sin(log(ell)))) / 0.11505296))"
12,0.025624126,"cosh(tau * (exp(sinh(sin(log(ell))) / 0.58010364) / 0.17446306))"
13,0.024847375,"cosh((tau * (exp(sin(log(ell)) / 0.58010364) / 0.12346481)) + -0.42281434)"
14,0.024139257,"(cosh(tau * (exp(sinh(sin(log(ell))) / 0.58010364) / 0.17446306)) - 0.039720237)"
15,0.023992024,"cosh((tau * (exp(sin(log(ell - tau)) / 0.58010364) / 0.12346481)) + -0.41410244)"
16,0.01948127,"cosh(tau * exp(exp(tan(sin(sinh(sin(log((exp(1.1808592) + ell) * 0.56446886))))))))"
17,0.019353038,"cosh(tan(tau) * exp(exp(tan(sin(sinh(sin(log((exp(1.1808592) + ell) * 0.56446886))))))))"
18,0.018396689,"cosh(tau * exp(exp(tan(sin(sinh(sin(log(((exp(1.2053636) + ell) * 0.56446886) - tau))))))))"
19,0.012539936,"cosh(tau * exp(exp(tan(sin(sinh(sin(log((exp(cosh(cos(log(tau)))) + ell) * 0.54750425))))))))"
20,0.012213168,"cosh(tau * exp(exp(tan(sin(sinh(sin(log((exp(cosh(exp(sin(log(tau))))) + ell) * 0.56446886))))))))"
