Complexity,Loss,Equation
1,0.13605374,"1.1317861"
3,0.1352797,"(1.0601948 + tau)"
4,0.11735758,"exp(0.9160962 ^ ell)"
6,0.10707781,"exp(tau / (ell / 39.99225))"
7,0.10701907,"exp(tau / sinh(ell / 39.99225))"
8,0.09878199,"exp(exp(exp(sin(log(ell)))) * tau)"
9,0.07869447,"exp(exp(exp(sinh(sin(log(ell))))) * tau)"
10,0.061063178,"cosh(sinh(exp((-0.28601632 + tau) * ell) * ell))"
11,0.054229718,"exp(exp(exp(sinh(sin(log(ell))) + tau)) * tau)"
12,0.04999531,"cosh(sinh(exp(((-0.29775438 + tau) * ell) + tau) * ell))"
13,0.04818077,"cosh(sinh(exp((tan(-0.29611462 + tau) * ell) + tau) * ell))"
14,0.04736044,"(cosh(sinh(exp(((-0.29827526 + tau) * ell) + tau) * ell)) + tau)"
15,0.040011596,"cosh(exp((-0.3117825 + (tau * sinh(exp(0.87218565 ^ ell)))) * ell) * ell)"
16,0.036425725,"cosh(exp((-0.3277835 + tanh(tau * sinh(exp(0.89289486 ^ ell)))) * ell) * ell)"
17,0.034953166,"cosh(tan(tanh(exp((-0.33057168 + (tau * sinh(exp(0.89289486 ^ ell)))) * ell))) * ell)"
18,0.031834103,"cosh(exp((-0.33057168 + tanh(tau * sinh(exp(0.9160056 ^ ell) - tau))) * ell) * ell)"
19,0.031001182,"cosh(exp((-0.33008423 + tanh(sin(tau * sinh(exp(0.91691947 ^ ell) - tau)))) * ell) * ell)"
20,0.029076703,"(cosh(exp((-0.33057168 + tanh(tau * sinh(exp(0.9160056 ^ ell) - tau))) * ell) * ell) + tau)"
