Complexity,Loss,Equation
1,0.8095569,"0.00586093"
3,0.32053015,"(0.13039574 ^ x)"
5,0.05771631,"((x + 1.0986997) ^ -2.7177515)"
7,0.0018882124,"(0.116848275 / (0.116848275 + (x ^ 1.4809593)))"
9,0.0006044253,"(0.23779134 / (((x ^ 1.7665714) + x) + 0.2317079))"
11,0.00035069403,"(0.23612054 / (((x ^ 1.0808733) + 0.23336793) + (x ^ 1.7389041)))"
13,0.00033359686,"(0.23612054 / (((x ^ 1.0842676) + 0.23336793) + ((x ^ 1.7389041) * 0.98998374)))"
15,0.00028033313,"(0.19536062 / ((x ^ 1.4454739) + (((0.91540456 + x) * (0.91540456 + x)) * 0.23002455)))"
17,0.0002760785,"(0.19536062 / ((x ^ 1.4454739) + (((1.0054328 + x) * ((0.9934643 + x) + -0.15703838)) * 0.23002455)))"
19,0.00027504668,"(0.19536062 / ((x ^ 1.4454739) + (((1.0054328 + (x ^ 1.0054328)) * ((0.9934643 + x) + -0.15703838)) * 0.23002455)))"
