Complexity,Loss,Equation
1,0.17149444,"0.59597707"
3,0.0007332499,"(0.031959236 ^ x0)"
5,0.00042424368,"((0.03855871 ^ x0) / 1.0262526)"
7,0.00031506963,"(((0.033001665 ^ x0) + 0.021228174) * 0.95529747)"
9,0.00021901465,"((0.03655419 ^ x0) * (0.9744104 + (x0 ^ 3.46417)))"
11,0.00013470252,"(0.97395307 / (1.0000722 + (((x0 ^ 1.444443) / 0.21924561) / 0.43489468)))"
13,8.617801e-5,"(0.97395307 / (1.0000722 + ((((x0 ^ 1.444443) / 0.26532263) / 0.43489468) + x0)))"
15,8.401664e-5,"(0.97395307 / ((0.97395307 ^ -0.14916293) + ((((x0 ^ 1.444443) / 0.26532263) / 0.43489468) + x0)))"
17,8.158802e-5,"(0.97395307 / ((0.97395307 ^ -0.11165525) + (((((x0 ^ 1.444443) / 0.26532263) / 0.43489468) / 1.0142975) + x0)))"
23,7.942991e-5,"(((0.0026552333 + x0) ^ 0.005121406) / ((0.005121406 ^ x0) + ((((x0 + x0) + x0) * ((2.7520726 + -0.4052068) + x0)) + x0)))"
25,7.885254e-5,"(((0.0026552333 + x0) ^ 0.005121406) / (((0.005121406 * 0.9503144) ^ x0) + ((((x0 + x0) + x0) * ((2.7520726 + -0.4052068) + x0)) + x0)))"
