Complexity,Loss,Equation
1,0.16198112,"0.3413778"
3,0.0008121474,"(0.03868236 ^ x0)"
5,0.0004885863,"((0.026310874 ^ x0) - -0.023614852)"
7,0.0002443828,"(((0.060136873 * x0) - -0.013375416) ^ x0)"
9,1.0925574e-5,"(0.9523789 / (0.9523789 + ((x0 / 0.1822037) ^ 1.3789234)))"
11,1.0809839e-5,"(0.9523789 / (0.9523789 + (((x0 / 1.0024996) / 0.1822037) ^ 1.3789234)))"
15,1.06933685e-5,"(0.94394034 / ((0.94394034 - ((0.26359406 - x0) * x0)) + ((x0 / 0.1822037) ^ 1.3344108)))"
17,9.4461275e-6,"(1.0037059 / ((1.0024996 + (x0 / ((x0 * 1.8060026) ^ x0))) + ((x0 / 0.20765807) ^ 1.4849349)))"
19,9.30429e-6,"(1.0037059 / ((1.0024996 + (x0 / (((x0 * 1.8060026) ^ x0) - 0.0130713))) + ((x0 / 0.20765807) ^ 1.4849349)))"
