Complexity,Loss,Equation
1,0.69577104,"1.8282377"
3,0.52175385,"(71.04658 * tau)"
4,0.26724845,"(exp(tau) ^ 35.669758)"
5,0.26623794,"((tau * 283.25723) - 7.046866)"
6,0.029455328,"((exp(tau) ^ 39.185192) + -1.8197738)"
7,0.0063553653,"exp(log(tau * 35.467766) / 0.32015893)"
8,0.006324577,"exp(exp(1.1406784) * log(tau * 35.467766))"
9,0.0056657726,"(exp(log(tau * 35.467766) / 0.32015893) - -0.083079875)"
11,0.00549128,"((exp(log(tau * 35.467766) / 0.32015893) - -0.105578154) - tau)"
12,0.004267701,"(exp(log(tau * 35.670006) / 0.32015893) - log(tau * 35.670006))"
14,0.0021250863,"(exp((exp(1.2011471) - tau) * log((tau * 35.669758) + -0.13676892)) + 0.5177025)"
16,0.002070736,"(exp((exp(1.2011471) - (tau / 0.955784)) * log((tau * 35.669758) + -0.13303252)) + 0.50718737)"
18,0.0019692203,"(exp((exp(1.2011471) - (tau / (0.955784 - tau))) * log((tau * 35.669758) + -0.13303252)) + 0.50718737)"
19,0.0011431802,"(exp((exp(1.2011471 - tau) - -0.20300552) * (log((tau * 35.669758) + -0.2373484) + 0.031048302)) - log(0.5177025))"
