Complexity,Loss,Equation
1,0.5247787,"-0.91665983"
3,0.2547811,"(-0.70777106 - k)"
5,0.008660387,"((k ^ 0.44653842) * -2.4275436)"
7,0.00069567916,"(-7.026622 / ((k ^ -0.7962809) + 2.0568469))"
8,0.00018771726,"((-1.3543155 - log10(k - -0.043455776)) / 0.59430325)"
10,0.00014764737,"(-2.2841356 - log10(((k ^ 1.0784429) - -0.030216677) ^ 1.510059))"
12,0.000107023814,"((-2.4275436 - log10(((k ^ 1.081084) - -0.030216677) ^ 1.510059)) + omega_m)"
14,0.00010492721,"(((-2.4275436 - log10(((k ^ 1.0784429) - -0.030216677) ^ 1.510059)) / 1.0016042) + omega_m)"
16,9.941312e-5,"((-2.4275436 - (log10(((k ^ 1.0784429) - -0.030216677) ^ 1.510059) / (0.9799585 ^ k))) + omega_m)"
18,9.78681e-5,"(-2.4275436 - ((log10(((k ^ 1.0784429) - -0.030216677) ^ 1.510059) - omega_m) / ((0.97152936 ^ k) ^ k)))"
20,9.641819e-5,"(-2.4275436 - ((log10(((k ^ 1.0784429) - -0.030216677) ^ 1.510059) - omega_m) / (((0.97152936 ^ k) * 0.9951516) ^ k)))"
21,9.392125e-5,"(((-1.3543155 - log10(k - -0.04291952)) / ((1.059471 ^ log10(omega_b)) + (omega_m + (omega_b * (0.022109386 / k))))) / 0.5651114)"
22,8.353857e-5,"((((-2.509878 - log10((k - -0.040726084) ^ 1.6874062)) + (omega_m * (((k ^ 0.32475975) ^ omega_m) * 1.3444182))) + omega_b) + omega_b)"
23,6.5009925e-5,"(((-1.353743 - log10(k - -0.04360046)) / ((1.059471 ^ log10(omega_b)) + (omega_m + (((0.03396906 / k) ^ 2.0086458) * omega_b)))) / 0.5651114)"
25,6.2932195e-5,"(((-1.353743 - log10(k - -0.04360046)) / ((1.059471 ^ log10(omega_b)) + (omega_m + ((((0.03396906 / k) ^ 2.0086458) + 0.048145995) * omega_b)))) / 0.5651114)"
