Complexity,Loss,Equation
1,699.6566,"29.386335"
3,212.31084,"(tau * 448.94052)"
5,28.249329,"(tau * (4786.8325 * tau))"
7,1.3601172,"((tau - 0.035692543) * (7323.505 * tau))"
9,0.13176024,"(((tau - 0.054113027) * (8556.562 * tau)) - -7.232142)"
11,0.098916106,"((0.13515642 / tau) - ((tau - 0.04369222) * (-8044.343 * tau)))"
13,0.04847333,"(11.370215 - (((tau * (0.88176537 - tau)) - 0.05109919) * (-13096.336 * tau)))"
15,0.039578475,"(11.085257 - (((tau * (0.20497802 - (tau * tau))) - 0.012469744) * (-50980.473 * tau)))"
17,0.038628127,"(10.834148 - (((tau * (0.20251529 - ((tau * 0.93281984) * tau))) - 0.012246785) * (-50980.473 * tau)))"
19,0.030434292,"(9.803671 - (((tau * (0.15141577 - (tau * tau))) - 0.008834728) * (-63509.93 * ((tau * tau) + tau))))"
23,0.030280322,"(9.803671 - (((tau * (0.15141577 - (tau * tau))) - 0.008834728) * ((-63509.93 * ((tau * tau) + tau)) + (-0.175965 / tau))))"
25,0.026512465,"((8.448448 + tau) - ((((tau * (0.12859535 - (tau * tau))) - 0.0072068223) * (-68341.234 * ((tau * (tau + tau)) + tau))) + -0.13270943))"
