Complexity,Loss,Equation
1,0.5481987,"-0.9433262"
3,0.2725072,"(-0.7343454 - k)"
5,0.010201727,"((k ^ 0.4401629) * -2.47553)"
7,0.0032917769,"(k / (-0.35943225 * (k - -0.22548191)))"
9,0.0008293231,"(k / (-0.38537198 * ((k + omega_m) ^ 0.847773)))"
11,0.0005918353,"((k / (-0.4838856 * (k + omega_m))) + (-0.50648063 * k))"
13,0.00033121448,"(k / (-0.5236464 * ((k + omega_m) / ((1.2134427 + k) ^ 0.41946837))))"
15,0.00032742156,"((k / (-0.5236464 * ((k + omega_m) / ((1.2134427 + k) ^ 0.41946837)))) + omega_nu)"
17,0.00027256113,"((k / (-0.5236464 * ((k + omega_m) / ((1.2134427 + k) ^ 0.41946837)))) - (0.13252293 - omega_m))"
19,0.00024219282,"((k / ((-0.5236464 * ((k + omega_m) / ((1.2134427 + k) ^ 0.41946837))) + omega_nu)) - (0.13252293 - omega_m))"
21,0.00024144388,"((k / ((-0.5236464 * ((k + omega_m) / (((1.2134427 + k) ^ 0.41946837) - omega_nu))) + omega_nu)) - (0.13252293 - omega_m))"
23,0.00024143976,"((k / ((-0.5236464 * ((k + omega_m) / (((1.2134427 + k) ^ 0.41946837) - (omega_nu / 1.023168)))) + omega_nu)) - (0.13252293 - omega_m))"
25,0.00024024729,"((k / ((-0.5236464 * ((k + omega_m) / (((1.2134427 + k) ^ 0.41946837) - omega_nu))) + ((omega_nu / omega_m) ^ 1.3603073))) - (0.13252293 - omega_m))"
