Complexity,Loss,Equation
1,0.5481987,"-0.943326"
3,0.27772447,"(-0.36717102 * x)"
5,0.007653352,"(0.050527986 - (x ^ 0.4335251))"
7,0.002312437,"(x / ((x + 1.9125808) / -2.786817))"
8,0.0001514734,"log10(0.17178902 / ((x - -0.34483895) ^ 1.6832836))"
10,0.00012952476,"log10(0.23088185 / ((0.22441466 + (x ^ 1.768771)) + x))"
12,0.00010599407,"log10(0.23088185 / ((0.22441466 + (x ^ 1.768771)) + (x ^ 1.0369729)))"
14,9.1867165e-5,"(log10(0.22465664 / ((0.22465664 + (x ^ 1.0682565)) + (x ^ 1.7423276))) - -0.005198467)"
15,7.743719e-5,"log10(0.453209 / ((x * (2.9263856 + (x - (log10(x) / -0.83623505)))) - -0.45087305))"
16,7.733956e-5,"(log10(0.22465664 / ((0.22465664 + (x ^ 1.0682565)) + (x ^ 1.7423276))) - (-0.005198467 / 0.55428755))"
17,7.587378e-5,"log10(0.453209 / ((x * (2.9263856 + (x - (log10(x * 1.032042) / -0.83623505)))) - -0.45087305))"
19,5.9728183e-5,"log10(0.33964834 / ((((((x ^ 0.91413057) + 0.86602604) * 0.86404973) + (log10(x) - -1.3628454)) * x) + 0.33964834))"
21,4.3270604e-5,"log10(0.33964834 / ((((((x ^ 0.91413057) + 0.86602604) * 0.86404973) + ((log10(x) * 0.9034206) - -1.3628454)) * x) + 0.33964834))"
