Complexity,Loss,Equation
1,0.16198112,"0.3413778"
3,0.0008130104,"(0.065094896 ^ x0)"
5,0.00048872846,"((0.04709757 ^ x0) + 0.02362304)"
7,1.0607197e-5,"(0.11657493 / (0.11657493 + (x0 ^ 1.3768004)))"
9,1.03115135e-5,"((0.11700422 / (0.116933994 + (x0 ^ 1.375199))) + -0.00051392725)"
11,1.0068419e-5,"((0.11691301 / (0.11691301 + (x0 ^ 1.375199))) + (x0 * -0.00025915084))"
13,9.267714e-6,"((0.11691301 / (0.11700422 + (x0 ^ 1.3737894))) + (0.00025592418 / (0.25019407 - x0)))"
15,8.9316345e-6,"((0.11691874 / (0.11691874 + (x0 ^ 1.375199))) + ((x0 * 0.000583364) / (0.25019407 - x0)))"
17,8.8774e-6,"((0.11691301 / (0.11691874 + (x0 ^ 1.375199))) + (((0.056441907 + x0) * 0.000583364) / (0.25019407 - x0)))"
19,8.642492e-6,"((0.11691301 / (0.11691874 + (x0 ^ 1.3737894))) + ((0.0003495427 * ((x0 ^ 1.7934676) - -0.40988764)) / (0.24953827 - x0)))"
21,7.4420946e-6,"((0.11691874 / (0.11691301 + (x0 ^ 1.3768004))) + ((0.0004264441 / (((0.249937 - (0.0004264441 ^ x0)) / 0.5431053) - x0)) * 0.425143))"
23,6.8831555e-6,"((0.11691874 / (0.11691301 + ((x0 ^ 1.3768004) / 1.0054227))) + ((0.0004264441 / (((0.24953827 - (0.0004264441 ^ x0)) / 0.5431053) - x0)) * 0.5431053))"
25,6.5949607e-6,"((0.11691301 / (0.11691874 + (((x0 ^ 1.3768004) / 1.0054227) / 1.0054227))) + ((0.0004264441 / (((0.24953827 - (0.0004264441 ^ x0)) / 0.5431053) - x0)) * 0.5431053))"
