Complexity,Loss,Equation
1,0.16198112,"0.34135765"
3,0.0008130104,"(0.065093614 ^ x)"
5,0.00021624657,"((0.9973174 + x) ^ -3.4093282)"
7,0.00015355006,"((0.9940036 + (x / 0.67039263)) ^ -2.505056)"
9,1.0588959e-5,"(0.9998619 / (0.99988264 - ((x ^ 1.3784695) / -0.116384305)))"
11,1.0341924e-5,"((0.9912092 ^ x) / (0.99988264 - ((x ^ 1.3748863) / -0.11745107)))"
13,9.933093e-6,"(((0.99383044 ^ x) ^ x) / (0.99988264 - ((x ^ 1.3725673) / -0.11745107)))"
15,9.932278e-6,"(((0.99383044 ^ x) ^ x) / (0.99988264 - (((x * 1.0004411) ^ 1.3725673) / -0.11745107)))"
17,9.931971e-6,"(((0.99383044 ^ x) ^ x) / (0.99988264 - (((x * (1.0004411 ^ 0.83042866)) ^ 1.3725673) / -0.11745107)))"
19,9.931964e-6,"(((0.99383044 ^ x) ^ x) / ((0.99988264 ^ 1.2379503) - (((x * (1.0004411 ^ 0.83042866)) ^ 1.3725673) / -0.11745107)))"
