Complexity,Loss,Equation
1,0.69577104,"1.8282387"
3,0.52175385,"(71.04658 * tau)"
5,0.2294581,"((tau * 2351.1592) * tau)"
7,0.0063250912,"((tau ^ 2.1313143) * (tau * 71109.734))"
9,0.0051948177,"(((tau * 71109.734) * (tau ^ 2.1415913)) + 0.14471535)"
11,0.001393545,"(((((59661.434 * tau) * tau) - 76.09699) * tau) + 1.9711927)"
13,0.0011506462,"(((((58136.13 * tau) * tau) - 44.451458) * tau) - (-0.031124547 / tau))"
15,0.0011378204,"((((((58167.43 * tau) * tau) - 44.451458) * 0.9953248) * tau) - (-0.031124547 / tau))"
17,0.001028726,"(((((58136.094 * tau) * tau) - 44.451458) * (tau / (0.91752476 + tau))) - (-0.031124547 / tau))"
19,0.00093092583,"(((((58136.13 * tau) * tau) - 44.451458) * (tau / (0.95478404 + (tau / 1.823644)))) - (-0.031124547 / tau))"
